system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,SAVI,aspect,elevation,precipitation,slope,.geo
0_0,2951.0,2239.0,763.0,1239.0,1271.0,1945.0,3239.0,3675.0,3804.0,3991.0,1.1093106,0.5086258,0.25897732,0.12627684,0.4991133,0.7485962,270.0,236.0,52.20354,3.2263353,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,2432.0,1883.5,469.75,708.0,880.0,1194.0,1586.0,1697.0,1819.5,1883.3334,0.65655684,0.43976262,-0.017283283,-0.1440668,0.3480274,0.52194446,-0.0,1396.0,78.13204,8.2891,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3126.7144,2495.7,925.35486,1314.279,1615.3077,1933.0714,2257.75,2384.842,2352.6191,2418.818,0.36105165,0.28316578,-0.029511426,-0.14127544,0.1858178,0.27869156,94.340355,931.0,97.11767,32.687614,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,3950.0,3581.0,1149.0,1710.0,2290.0,2519.0,2707.0,2829.0,2892.0,2897.0,0.18776122,0.25684485,-0.106442146,-0.15463315,0.11617136,0.17424023,338.84125,226.0,57.541348,2.9809241,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,2254.3333,2014.0,683.63635,904.0,1479.8334,1692.0,1810.0,1901.0,1961.0,1933.0,0.21053097,0.36893544,-0.013333334,-0.0695872,0.13984014,0.20972973,172.90001,564.0,86.28729,24.549026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,2359.5,1827.0,993.0,1366.0,1643.0,1904.5,2313.5,2499.5,2585.0,2593.5,0.47132993,0.3085295,0.17180417,0.04560623,0.22280037,0.33416104,57.20647,2387.0,199.73895,38.902752,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,2604.8333,1925.0,555.0625,795.53845,980.44446,1304.1111,1748.125,1957.6666,2081.0,2153.3333,0.72372633,0.44687793,0.03894159,-0.11179084,0.35948896,0.5391454,23.590322,1464.0,86.63446,15.781514,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,3084.5,2549.0,712.0,1022.0,1397.3334,1696.5,2004.0,2164.0,2236.0,2321.5,0.39702073,0.37262124,-0.065412745,-0.15947749,0.23082568,0.34619087,270.0,1529.0,78.045746,5.3819885,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,4310.0,3700.0,957.0,1458.0,2118.6667,2649.0,3011.0,3216.0,3242.0,3360.0,0.3199468,0.37957448,-0.06597523,-0.14141949,0.20955104,0.31429723,245.42477,1376.0,78.362335,17.295927,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,3313.0,2924.6667,890.0,1276.0,1749.5,2013.0,2329.0,2494.0,2604.0,2661.0,0.3323868,0.34226805,-0.058000736,-0.11982424,0.19627886,0.29438448,30.205313,1436.0,78.13204,2.1453998,"{""type"":""MultiPoint"",""coordinates"":[]}"
