system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
0_0,3878.0,3065.0,740.0,1085.0,1621.0,1943.0,2316.0,2566.0,2771.0,2902.0,0.41378814,0.43724066,-0.05037697,-0.1664912,0.26183972,338.04767,111.0,186.25238,2.997249,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.557476995251478,34.20735194586511]}"
1_0,3840.0,3147.0,849.0,1229.0,1726.0,2037.0,2359.0,2623.0,2753.0,2863.0,0.38079348,0.38272226,-0.06677966,-0.16487183,0.22929226,90.0,100.0,232.31233,1.1217148,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.393354792842841,34.23403190980346]}"
2_0,4303.0,3896.0,943.0,1438.0,2190.0,2452.0,2769.0,2963.0,3172.0,3243.0,0.26567826,0.37613884,-0.1024335,-0.15130435,0.18314062,315.98233,118.0,203.46179,6.4217143,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.552895587302468,34.114915303129216]}"
3_0,3280.0,2180.0,598.0,839.0,1170.0,1583.0,1989.0,2224.0,2379.0,2550.0,0.61495423,0.47855812,0.043649923,-0.1592154,0.34065935,-0.0,108.0,220.642,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.4863304247492115,34.14509869667563]}"
4_0,4243.0,3727.0,818.0,1208.0,1892.0,2214.0,2556.0,2796.0,2909.0,3056.0,0.31284606,0.4131649,-0.123267025,-0.18652125,0.21183087,90.0,193.0,213.5751,2.2372754,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.4170703163435965,34.03406692755846]}"
5_0,3366.0,2273.0,567.0,834.0,1093.0,1488.0,2106.0,2400.0,2625.0,2809.0,0.77663994,0.5177797,0.071866065,-0.12368553,0.4120495,338.07236,117.0,186.36584,2.9967299,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.658537464714923,34.10224905762313]}"
6_0,3696.0,2877.0,562.0,853.0,1324.0,1562.0,1834.0,2073.0,2183.0,2354.0,0.3631828,0.4380764,-0.13715415,-0.2573567,0.2449387,-0.0,109.0,232.31233,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.357781507591708,34.20034508664898]}"
7_0,4025.0,2995.0,795.0,1056.0,1464.0,1830.0,2262.0,2544.0,2733.0,2915.0,0.5710557,0.442597,-0.045740224,-0.19118083,0.30235884,270.0,63.0,232.31233,2.2429845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.396319233280435,34.24966259574715]}"
8_0,4685.0,3921.0,859.0,1354.0,2186.0,2521.0,2784.0,2986.0,3084.0,3252.0,0.23005585,0.38981524,-0.11948608,-0.20607543,0.17039849,152.62901,96.0,216.29515,7.2716103,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.372873204364916,34.12407811902724]}"
9_0,4240.0,3594.0,749.0,1071.0,1677.0,2013.0,2285.0,2440.0,2558.0,2762.0,0.3144856,0.40975475,-0.16840053,-0.24742572,0.20802833,180.0,97.0,232.31233,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.38823439572336,34.22971999643969]}"
10_0,3495.0,2503.0,728.0,1004.0,1312.0,1752.0,2473.0,2793.0,2953.0,3141.0,0.76453596,0.49254486,0.08247801,-0.08405707,0.38475966,309.56396,29.0,237.2931,1.4558553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.401170135814681,34.28820032143587]}"
11_0,4921.0,4668.0,1120.0,1676.0,2489.0,2840.0,3092.0,3277.0,3383.0,3520.0,0.22534785,0.33741847,-0.1596075,-0.18521194,0.15224795,247.5388,68.0,243.66537,2.4261692,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.413566886735531,34.224330104734975]}"
12_0,3625.0,2756.0,673.0,1032.0,1460.0,1848.0,2404.0,2627.0,2837.0,2926.0,0.5255324,0.46652883,0.014482388,-0.12194367,0.32045612,141.15926,122.0,220.642,3.5677283,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.484713457237796,34.110333895180204]}"
13_0,3308.0,2592.0,554.0,867.0,1113.0,1635.0,2264.0,2575.0,2636.0,2843.0,0.7378876,0.5049957,0.008416221,-0.113055184,0.40624166,180.0,130.0,186.77992,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.6588069593001595,34.02490411166044]}"
14_0,3236.0,2325.0,628.0,907.0,1272.0,1655.0,2236.0,2505.0,2665.0,2846.0,0.62321043,0.49216124,0.068136275,-0.09676326,0.3538227,230.38179,129.0,216.2102,1.4541901,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.503847572789542,34.12569508653865]}"
15_0,4376.0,3608.0,941.0,1463.0,2102.0,2477.0,2725.0,2935.0,3017.0,3211.0,0.26684165,0.346875,-0.089207545,-0.18382253,0.17874585,227.87749,174.0,213.5751,16.152063,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.408446489616049,34.011429382398646]}"
16_0,3501.0,2713.0,601.0,832.0,1172.0,1468.0,1928.0,2158.0,2367.0,2506.0,0.6106285,0.47983745,-0.068110235,-0.19325154,0.337666,50.418198,27.0,186.25238,1.4553071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.563944865297138,34.23510988814441]}"
17_0,3868.0,2910.0,742.0,1011.0,1382.0,1713.0,2120.0,2393.0,2569.0,2799.0,0.56022274,0.43519554,-0.062237635,-0.20180207,0.30043027,180.0,16.0,239.37541,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.335413457017132,34.2981716210896]}"
18_0,4300.0,3846.0,795.0,1230.0,2041.0,2293.0,2667.0,2856.0,2979.0,3053.0,0.25314406,0.41553813,-0.12703297,-0.18148097,0.18685259,270.0,152.0,218.05217,3.356187,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.331910027409066,34.09497270382176]}"
19_0,4186.0,3174.0,912.0,1331.0,1861.0,2232.0,2756.0,3033.0,3227.0,3433.0,0.45207837,0.4159719,0.008279956,-0.12936732,0.26847485,309.62726,85.0,209.45088,2.9059553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.57553313246228,34.09847613342983]}"
