system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
0_0,3191.0,2556.5,888.0,1405.5,1871.5,2154.0,2467.5,2629.0,2671.5,2744.0,0.27618587,0.31052244,0.02199694,-0.08861407,0.1760951,218.97986,1140.0,258.4416,17.346592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.42658330979156,34.52724201854008]}"
1_0,3569.0,3001.0,920.0,1540.0,2355.0,2598.0,2883.0,3087.0,3002.0,3121.0,0.15806703,0.32188463,1.6658337E-4,-0.086288236,0.12077656,256.84448,1014.0,356.91702,8.096041,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.922722841210772,35.109619817234766]}"
2_0,1765.0,1069.0,314.0,606.0,511.0,1095.0,2047.0,2325.0,2332.0,2524.0,1.495565,0.58747447,0.37136137,0.13839395,0.6405206,6.6177244,1626.0,316.2121,18.892145,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.442752984905712,34.82557252439617]}"
3_0,2937.0,2176.5,701.5,1176.0,1489.0,1903.5,2645.0,2917.0,3005.0,3132.5,0.56747144,0.43745515,0.15989578,0.011443959,0.3373387,151.09412,497.0,299.43228,11.497505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.64056201046883,34.59272920275239]}"
4_0,3368.5,2156.0,547.0,975.5,1387.0,2040.0,3115.0,3622.0,3749.0,4014.0,0.74094987,0.58704627,0.26977137,0.053459782,0.45989096,332.73465,461.0,411.9612,25.337057,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.851845765293742,34.82368606229952]}"
5_0,4440.0,3617.0,465.0,976.0,1948.0,2300.0,2519.0,2669.0,2682.0,2762.0,0.16860385,0.46637508,-0.14843626,-0.24684078,0.15853132,8.180586,472.0,170.7443,15.537053,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.125288363497873,35.07728046700646]}"
6_0,2512.0,1553.5,634.5,946.5,878.5,1588.5,2891.5,3246.0,3398.0,3542.5,1.6104187,0.5642767,0.37251338,0.1499154,0.58915,357.93988,1267.0,355.88983,28.843344,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.028364718623228,35.15085248877585]}"
7_0,2508.0,1468.0,456.0,774.0,755.0,1406.0,2578.0,2925.0,3210.0,3183.0,1.4203888,0.6114458,0.37238136,0.1227702,0.61916775,5.93611,1319.0,369.4159,37.413345,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.913560025312753,35.063805737744666]}"
9_0,4262.0,2964.0,839.0,1353.0,1855.0,2592.0,3468.0,3815.0,4215.0,4228.0,0.65168166,0.51400864,0.17425825,-0.0055444143,0.38879737,14.6793375,719.0,356.91702,25.105509,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.937275548813508,35.11393173059854]}"
10_0,1818.0,983.0,155.0,466.0,307.0,930.0,2292.0,2611.0,2705.0,2796.0,1.7707872,0.7060864,0.46691975,0.19610877,0.7961487,44.747177,849.0,432.7769,20.035994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.900624285221432,34.94495862565565]}"
11_0,2180.5,1538.5,571.0,748.0,937.5,1214.0,1712.0,1890.5,2033.5,2063.0,0.811371,0.4621607,0.13857783,-0.034883723,0.36889938,67.77225,313.0,325.69928,12.076925,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.861278075776997,35.18292234441892]}"
12_0,3168.0,2420.0,945.5,1408.0,1784.5,2053.5,2523.0,2710.5,2719.5,2849.0,0.36890906,0.31774682,0.05827415,-0.07617834,0.20759325,63.744953,953.0,366.9202,18.228848,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.647029880514491,34.70537793938098]}"
14_0,2474.5,1813.5,374.5,653.0,756.0,1192.5,1917.5,2126.5,2233.0,2312.5,0.93215525,0.54747057,0.10366984,-0.051301114,0.49414518,175.90788,636.0,313.3515,28.889515,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.588819050103546,34.69271169387489]}"
15_0,2741.5,2209.5,615.0,949.5,1287.5,1614.5,2178.5,2423.0,2496.5,2634.5,0.5387701,0.4489263,0.060985975,-0.04677358,0.31950316,144.5835,884.0,425.0906,25.487974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.878525729232091,34.8821663872957]}"
17_0,3688.0,3014.5,1329.5,1773.0,2157.5,2456.5,2709.5,2927.5,2932.5,3091.5,0.3279868,0.24641377,-0.0137884645,-0.114115246,0.15225933,337.911,211.0,389.8688,3.0001366,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.097085837858371,34.77948895032084]}"
18_0,3854.0,3411.6667,1325.7778,1845.1428,2580.5,2802.0,3154.6,3340.75,3504.0,3475.0,0.25526094,0.31011644,0.013351316,-0.047567274,0.15177912,90.0,38.0,253.53049,3.4116237,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.103553707904032,35.44999147838765]}"
19_0,3136.0,2281.0,651.0,1083.0,1240.0,1776.0,2791.0,3138.0,3256.0,3309.0,0.8667985,0.5008066,0.17608814,0.018773466,0.4483986,346.2914,1387.0,214.57475,14.03281,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.374840349426276,34.925285520933436]}"
20_0,494.0,425.5,624.5,495.0,449.0,418.0,388.0,367.0,455.0,382.0,-0.009779952,-0.042105265,0.033503693,-0.04109589,0.006637168,-0.0,0.0,182.31625,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.208023201165281,35.19046819280552]}"
21_0,3220.0,2301.0,800.0,1233.0,1617.0,2038.0,2744.0,3072.0,3075.0,3224.0,0.53776926,0.4275766,0.14397322,-0.023034154,0.3107417,42.616703,765.0,388.4325,14.78691,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.270370856165027,35.3985180126076]}"
23_0,249.0,227.0,480.0,379.0,286.0,276.0,268.0,258.0,285.0,253.0,0.0015644556,-0.14156626,0.11328125,0.06741573,-0.0017513135,-0.0,0.0,249.52759,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.083611108596578,35.485564763638784]}"
24_0,4356.0,3067.0,1458.0,2078.0,2970.0,3362.0,3474.0,3715.0,3900.0,3946.0,0.2155572,0.3047842,0.119563654,-0.05523256,0.13537118,36.78839,192.0,344.4075,14.722839,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.439613455693145,34.61887017752027]}"
26_0,127.0,107.0,349.0,248.0,154.0,139.0,131.0,140.0,118.0,113.0,0.057161003,-0.35519126,0.04888889,-0.036734693,-0.13235295,-0.0,0.0,259.57742,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.732459664034257,35.248140034045996]}"
27_0,4305.5,3350.5,1409.5,2043.5,2716.0,3091.0,3215.5,3567.0,3705.0,3823.0,0.26217428,0.28903192,0.05024449,-0.074964106,0.15402585,163.11401,267.0,311.94348,3.8712258,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.83567609017959,34.55607793916031]}"
29_0,434.0,331.5,552.2857,661.7778,412.625,473.125,298.375,349.7143,303.0,339.0,0.20116262,-0.37187606,-0.04491726,-0.17774762,-0.15318777,31.55116,2.0,266.48883,6.5022397,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.117297931751061,35.48260032320119]}"
30_0,3882.0,3185.0,763.0,1300.0,1808.0,2153.0,2344.0,2500.0,2501.0,2579.0,0.22713864,0.31596947,-0.120295465,-0.21635595,0.16082618,185.5775,921.0,257.0079,22.12761,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.439788544468118,34.993737145583346]}"
32_0,2525.0,1988.0,792.5,1225.0,1553.5,1808.0,2292.5,2530.0,2713.0,2646.0,0.47588754,0.3778568,0.1542225,0.035891563,0.27176842,124.43428,1009.0,291.63712,23.239351,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.466468508406467,34.64285519560626]}"
33_0,2552.0,1823.0,734.0,1110.0,1212.0,1744.0,2377.0,2575.0,2707.0,2731.0,0.83519554,0.4183914,0.19514349,0.029473284,0.38147485,253.27913,376.0,247.86124,21.497,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.056931144658229,35.37264653242496]}"
