system:index,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023,NDVI_2024,.geo
0_0,0.4812612,0.5115328,0.49770883,0.4630925,0.5090379,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.070136379334786,33.69207829889416]}"
1_0,0.20037799,0.22186923,0.26370627,0.21826072,0.20537305,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.578847750449819,33.78128100660723]}"
2_0,0.19311847,0.18790905,0.2182007,0.17359398,0.20212488,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.057200639243464,33.38431548255481]}"
3_0,0.19222358,0.19441015,0.19010049,0.18406706,0.18150668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.856427173242752,33.48510645743302]}"
4_0,0.13026316,0.1253315,0.115367666,0.110752426,0.110260546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.650263815537321,33.11482089731896]}"
5_0,0.23532817,0.20953213,0.23551151,0.19606255,0.21514767,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.37493475523654,33.34119634891707]}"
6_0,0.21036078,0.18399979,0.2013425,0.17319585,0.15236947,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.471858400111184,33.66890176456388]}"
7_0,0.23319957,0.25286645,0.24768855,0.25441137,0.22831897,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.588280060933075,33.833562956142984]}"
8_0,0.10964582,0.10935256,0.096359,0.09646441,0.09221456,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.516055512089864,33.41476837068646]}"
9_0,0.21263936,0.21833348,0.29991758,0.24592721,0.21251339,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.5640255482618475,33.76726728817496]}"
10_0,0.24052769,0.21611977,0.30619955,0.2325983,0.24656779,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.603371757706283,33.961842378715254]}"
11_0,0.25329316,0.2770235,0.25994977,0.24845839,0.22001556,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.639214537542651,33.748941656378925]}"
12_0,0.28131294,0.1994587,0.24642603,0.27502015,0.24850154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.851845765293742,33.36895429119637]}"
13_0,0.39676458,0.38575703,0.37196618,0.36935404,0.40500385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.376551722747955,33.08382902001683]}"
14_0,0.18268555,0.17744961,0.17843047,0.15977736,0.15580724,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.909787101119451,33.41988876780594]}"
15_0,0.10903324,0.11247823,0.107849434,0.10705284,0.109307624,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.624931324525151,33.03936241345291]}"
16_0,0.50434273,0.5591214,0.5077548,0.49328548,0.47200903,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.090078978642239,33.78478443621529]}"
17_0,0.23495443,0.24811642,0.2461664,0.26057768,0.24580503,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.406371215898871,33.9952597072845]}"
18_0,0.12646273,0.11011809,0.10577326,0.11375393,0.107098736,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.39343547580755,33.31775032000155]}"
19_0,0.21953984,0.25524023,0.27906895,0.2741132,0.29263213,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.125652263893373,33.32960808175193]}"
20_0,0.26601756,0.24133545,0.2715323,0.2721662,0.29929364,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.293277895910075,33.174109706070844]}"
21_0,0.16696492,0.15888532,0.13921821,0.13427506,0.13151331,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.2279658004727345,33.257114038323486]}"
22_0,0.3628297,0.2900697,0.3064749,0.26259744,0.22845688,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.477073203040929,33.149316204229144]}"
23_0,0.21235073,0.19686995,0.16278471,0.15665339,0.18681861,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.413108580529768,33.29565176401221]}"
24_0,0.25979272,0.24854921,0.22513539,0.20475307,0.20581368,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.061148652211739,33.922496169270815]}"
25_0,0.16977036,0.18142398,0.17039633,0.16257751,0.15011618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.711169591800625,33.564876854662835]}"
26_0,0.24220961,0.21676569,0.21919204,0.2023502,0.20768477,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.768032949285391,33.769692739442085]}"
27_0,0.19378854,0.18805712,0.18446687,0.18428868,0.18602741,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.661043598946756,33.39159183635618]}"
28_0,0.10431547,0.10802766,0.09747003,0.10114427,0.10061697,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.541926992272507,33.41530735985693]}"
29_0,0.15154418,0.14919767,0.13731916,0.12913764,0.13811629,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.379691251960521,33.27597865929]}"
30_0,0.17231774,0.15543392,0.17614461,0.1295445,0.13992254,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.061782047192474,33.21857631263476]}"
31_0,0.32182172,0.3169619,0.31371617,0.29938734,0.28840575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.772344862649164,33.7351974325319]}"
32_0,0.71096253,0.7036951,0.6422838,0.6522634,0.640604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.031329159060823,33.550593641645335]}"
33_0,0.2639108,0.26914728,0.2417098,0.26486567,0.2553844,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.440866522809061,33.42689562702208]}"
34_0,0.22381984,0.21275325,0.24366538,0.24028407,0.19669612,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.668319952748123,33.569458262611846]}"
35_0,0.14451216,0.13423917,0.13481511,0.12566176,0.13062564,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.417959483064013,33.11643786483037]}"
36_0,0.13586694,0.12271435,0.1209141,0.123174176,0.12806478,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.4759008188897225,33.172223243974194]}"
37_0,0.29860675,0.31557724,0.33023512,0.28017482,0.2794146,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.136432047302806,33.83868335326246]}"
38_0,0.114903085,0.11889854,0.11418249,0.10445013,0.10678881,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.150620854510043,33.31828930917202]}"
39_0,0.16899244,0.16599527,0.14615262,0.1431983,0.14218888,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.1662515404537235,33.38135104211722]}"
40_0,0.30710024,0.3537892,0.3351726,0.32754695,0.29281417,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.4155340317968905,33.432016024141554]}"
41_0,0.2272673,0.22934963,0.22095817,0.20017779,0.19302362,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.492703888984608,33.3158638579049]}"
