system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
0_0,3367.0,3231.5,751.5,1147.0,2029.5,2360.5,2489.0,2616.0,2656.5,2711.0,0.17041285,0.3968713,-0.09765625,-0.11795468,0.13380282,90.0,566.0,105.94036,2.1808321,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,3252.5,2790.5,609.0,958.0,1467.0,1862.0,2238.0,2456.0,2475.0,2655.5,0.3755309,0.44188756,-0.059918337,-0.13574858,0.25570777,130.34975,663.0,163.78778,2.8626664,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,2839.0,2057.0,661.0,938.0,1359.0,1677.0,1939.0,2130.0,2269.0,2371.0,0.41617122,0.41502962,0.04900601,-0.11158966,0.2508269,340.14944,878.0,127.648766,12.611379,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,3082.5,2600.3333,934.0,1356.0,1924.5,2182.5,2311.5715,2459.1428,2453.0,2538.0,0.18885791,0.2880021,-0.029155657,-0.11372053,0.12073101,180.0,1031.0,125.94566,4.6273675,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,4218.0,3776.0,1052.5,1435.0,2321.5,2570.5,2714.0,2841.0,2957.5,2996.5,0.17678943,0.34661356,-0.121556394,-0.1756672,0.12047736,266.741,2401.0,279.6951,15.894146,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,2886.0,2310.0,823.0,1254.25,1693.5,2039.0,2760.0,3093.0,3173.0,3279.0,0.51640487,0.43339545,0.15739559,0.047367554,0.30401728,-0.0,593.0,95.5192,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,3118.0,2553.0,675.5,1023.0,1488.5,1778.0,2143.0,2321.5,2378.0,2480.5,0.35615617,0.39841223,-0.03548976,-0.13464338,0.23005302,224.42146,1091.0,179.0693,7.744238,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,3617.5,3443.0,612.5,1037.0,1981.0,2301.5,2443.5,2586.5,2542.5,2669.5,0.14271916,0.42058948,-0.1504469,-0.17451298,0.12412955,158.56862,650.0,149.41261,2.986448,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,4046.1667,3304.8,1221.3334,1736.6,2269.3333,2645.75,2998.889,3175.6,3257.1428,3335.2856,0.32012942,0.3044896,-0.00726267,-0.10803649,0.1787413,303.53357,2033.0,206.66588,22.305552,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,3291.0,2739.5,842.5,1314.5,1899.5,2400.0,3098.0,3419.0,3437.5,3599.0,0.45146328,0.44675925,0.11299984,0.021773055,0.28817686,108.77094,687.0,163.78778,5.745317,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,4142.0,3964.0,850.5,1352.5,2326.5,2626.5,2756.0,2921.5,2939.5,3075.0,0.14566451,0.36975768,-0.14840299,-0.16980866,0.11640714,130.3082,595.0,116.56669,1.4334505,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,4756.0,4573.0,1314.0,1997.5,3197.0,3540.5,3679.5,3840.5,3852.5,3937.0,0.1243314,0.31709403,-0.08551421,-0.10495441,0.09298532,-0.0,670.0,153.34114,2.7802885,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,3347.0,2908.0,893.0,1278.0,1951.0,2223.0,2517.0,2687.0,2806.0,2900.0,0.273495,0.374143,-0.017850893,-0.08792459,0.17973512,28.699781,1650.0,144.18051,15.473423,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,2225.0,1709.0,748.3333,1141.091,1288.6666,1613.875,2225.5,2412.6667,2479.3333,2545.3333,0.6471249,0.3696369,0.18392359,0.054063614,0.31599435,238.14572,1359.0,173.89233,26.140003,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,3731.1428,3515.0,660.0,1148.0,2202.5,2500.75,2643.3333,2763.0,2794.6667,2804.8,0.13384518,0.41765302,-0.114163436,-0.14350343,0.1185005,346.7901,916.0,126.20582,4.7525697,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,4603.5,3980.5,1165.0,1808.0,2785.0,3091.5,3315.5,3488.0,3564.5,3649.5,0.16889842,0.32694277,-0.05513585,-0.12720372,0.12276557,257.93948,2194.0,192.55135,8.80782,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,3626.5,3052.0,1049.5,1503.0,2073.5,2426.0,2593.0,2754.0,2829.0,2899.0,0.25524512,0.30609417,-0.03791872,-0.12353807,0.15410505,270.0,581.0,106.581406,2.182477,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,4813.0,4315.5,985.5,1610.0,2586.0,2925.5,3117.5,3278.0,3361.0,3446.5,0.1686726,0.352243,-0.12434052,-0.17763641,0.1303178,351.61542,778.0,121.64515,7.457688,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,2382.8333,1964.7778,1127.2916,1761.3,2143.65,2282.1,2283.0,2332.7896,2207.0833,2162.0,0.023972228,0.11233371,0.058080893,-0.038290456,0.014579922,226.18892,1927.0,229.4443,11.884393,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,3624.0,3248.0,648.0,1047.0,1824.0,2107.0,2326.0,2502.0,2564.0,2698.0,0.21389756,0.42010525,-0.117687546,-0.1712993,0.16864175,180.0,962.0,111.062775,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,2667.5,2056.5,679.5,1047.5,1432.5,1792.0,2474.0,2735.5,2745.0,2912.5,0.52544135,0.44759393,0.1433927,0.0143187065,0.31418312,310.48822,843.0,147.96126,1.42817,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,3670.3333,3380.5,1180.1,1694.3,2267.75,2593.0,2726.6365,2845.3333,2868.422,2953.0,0.19693723,0.2573293,-0.0819466,-0.12263972,0.11694937,215.96443,2401.0,255.6686,40.0305,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,3019.5,2835.0,730.0,1150.5,1881.0,2173.5,2345.5,2490.0,2502.5,2577.0,0.18687233,0.37010676,-0.062295083,-0.0936255,0.14178169,329.64886,925.0,143.3367,4.2911487,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,1581.5,1381.0,599.3333,748.25,997.0,1201.875,1388.0,1501.2858,1270.0,1476.25,0.24746192,0.25851604,-0.041870993,-0.10924075,0.120423466,284.18225,2396.0,225.81598,46.590813,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,2188.75,2047.9166,743.0,1059.0,1663.5278,1932.75,2164.8333,2321.0,2315.5,2399.875,0.24236281,0.37235147,0.06132428,0.02814009,0.16385213,-0.0,1478.0,172.20782,20.421242,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,4425.5,4012.0,1266.0,1786.5,2647.5,2999.5,3310.0,3504.0,3587.5,3731.5,0.23550634,0.33513212,-0.05585894,-0.10458006,0.15076183,111.14846,1012.0,132.60513,12.64441,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,2466.5,2070.5,596.0,916.0,1310.5,1712.0,2255.5,2509.0,2563.0,2649.0,0.5256421,0.4734119,0.10629114,0.019186798,0.32335097,-0.0,634.0,125.66204,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,3558.0,3044.0,874.0,1351.0,1871.0,2290.0,2745.0,2940.0,3036.25,3194.3333,0.377923,0.38412446,-0.0012746187,-0.07912196,0.23745479,14.235824,1325.0,168.2528,31.712866,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,3323.0,2857.5,1160.4,1604.5,1950.5,2255.0,2651.0,2806.0,2834.0,2950.0,0.3785347,0.277008,-0.004128964,-0.079421796,0.1846588,172.36073,1969.0,206.66588,29.75425,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,2546.7,2123.25,734.25,1103.75,1484.7,1779.25,2125.0,2286.0,2316.5,2349.0,0.36362368,0.35457933,0.043527227,-0.047335077,0.21882565,322.52982,2000.0,229.4443,27.936943,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,2341.5,1809.5,519.0,802.0,1126.0,1415.0,1777.0,1951.0,2042.5,2096.0,0.46693498,0.43610477,0.060488056,-0.068202555,0.2892536,94.877914,1611.0,124.74963,10.778471,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,2304.0,1753.0,560.0,874.0,1161.0,1598.0,2358.0,2649.0,2720.0,2839.0,0.7103153,0.51363385,0.216186,0.08280255,0.4017006,-0.0,662.0,125.66204,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,3428.0,3044.5,843.0,1312.0,2110.0,2459.0,2805.5,3019.5,3051.0,3146.5,0.25054583,0.39857897,0.0010663604,-0.05818799,0.182329,30.431784,626.0,113.05518,2.1503599,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,2589.0,2182.3333,659.0,1036.6666,1490.125,1797.5,2141.0,2321.5,2382.1667,2456.6,0.34946853,0.39355534,0.043779932,-0.041606583,0.23036532,16.353195,1922.0,203.75082,11.444471,"{""type"":""MultiPoint"",""coordinates"":[]}"
