system:index,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023,NDVI_2024,.geo
0_0,0.08610482,0.07084503,0.0784088,0.10212174,0.0786448,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.426421943862142,30.027221434271745]}"
1_0,0.11353707,0.16787973,0.15405904,0.14289477,0.12888205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.922022486110881,30.60959923296643]}"
2_0,0.13950619,0.1752477,0.1537647,0.15697499,0.13601276,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.442322124391058,30.325551940127838]}"
3_0,0.10306334,0.121994294,0.10009735,0.111161955,0.10012312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.640400644539412,30.092439123898824]}"
4_0,0.10009906,0.12727289,0.10188667,0.109269515,0.09725207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.851414904779087,30.323665478031188]}"
5_0,0.16630474,0.16922332,0.13487951,0.17300537,0.13252859,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.125126997568454,30.57725988273813]}"
6_0,0.22612102,0.25230223,0.27927843,0.19303557,0.19418122,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.02820335269381,30.650562409922284]}"
7_0,0.12928994,0.17574416,0.15146638,0.13709706,0.1395983,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.913129164798098,30.5635156588911]}"
8_0,0.1241254,0.15075071,0.13303563,0.13609444,0.1183719,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.980772305692298,30.935687681101818]}"
9_0,0.10532909,0.16863921,0.13635628,0.12848125,0.11643433,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.936844688298855,30.613911146330206]}"
10_0,0.123586304,0.14204879,0.12653266,0.14049429,0.123569235,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.899923930121542,30.444938041387324]}"
11_0,0.19307928,0.25578666,0.3143682,0.24078022,0.205732,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.860847215262343,30.682901760150585]}"
12_0,0.12593661,0.17327408,0.13931844,0.1299162,0.119323485,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.646868514585073,30.20508786052741]}"
13_0,0.29319343,0.34114808,0.29901972,0.31784785,0.32156107,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.124318513812748,30.83543569539408]}"
14_0,0.10235285,0.099628605,0.13189006,0.12309396,0.052437063,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.588657684174128,30.19269110960656]}"
15_0,0.11694903,0.18232511,0.10735736,0.12047454,0.102827474,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.878094868717438,30.381876308442134]}"
16_0,0.13177669,0.14185452,0.14346363,0.15738621,0.12575185,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.407826817480869,30.94727594826696]}"
17_0,0.14924535,0.19857198,0.14628148,0.13885696,0.13497603,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.096654977343718,30.279198871467273]}"
18_0,0.25639942,0.31295225,0.27849382,0.29642478,0.2638441,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.10366183655985,30.949970894119318]}"
19_0,0.14071345,0.19307044,0.1522164,0.15713474,0.14130811,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.374678983496858,30.42499544207987]}"
20_0,0.2489112,0.28755796,0.23335941,0.24327876,0.25755954,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.207592340650626,30.690447608537188]}"
21_0,0.15678027,0.23642462,0.16892384,0.1557352,0.16124257,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.270209490235608,30.89849742833927]}"
22_0,0.20383823,0.23144199,0.22614346,0.23056206,0.20764473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.022988549764065,30.835705189979315]}"
23_0,0.16131894,0.16527943,0.16235012,0.15920165,0.14715184,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.083719237252396,30.985274684785217]}"
24_0,0.098222926,0.11480235,0.11050792,0.119140506,0.11028115,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.439452089763726,30.118849593251937]}"
25_0,0.07885053,0.06924351,0.068324134,0.0870254,0.10072679,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.785658225981539,30.916014576379602]}"
26_0,0.17102818,0.22101183,0.31687027,0.23646984,0.19878519,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.732028803519604,30.74811944977766]}"
27_0,0.10604277,0.1296743,0.11316474,0.11170607,0.09908947,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.835784218835409,30.056057354891983]}"
28_0,0.1420039,0.17052954,0.16355968,0.16574025,0.14459322,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.954631330924421,30.952665839971676]}"
29_0,0.35151562,0.3368069,0.2587227,0.28127736,0.28330562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.117136565821642,30.982579738932856]}"
30_0,0.08515169,0.09493472,0.09481223,0.10001222,0.09375475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.439357683953464,30.493716561315015]}"
31_0,0.2153369,0.29130846,0.3002281,0.29772738,0.23024128,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.726908406400122,30.785848691710683]}"
32_0,0.13032573,0.14225118,0.11934348,0.14740211,0.12051506,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.466576637062285,30.14283461133793]}"
33_0,0.1347968,0.1751331,0.1470489,0.14730649,0.13713883,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.05676977872881,30.872356453571392]}"
34_0,0.13135402,0.1507546,0.15153787,0.12569377,0.13475224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.829046854204512,30.882597247810356]}"
35_0,0.14712633,0.18442288,0.18352127,0.17389677,0.156963,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.082371764326217,30.16681962942392]}"
36_0,0.10932343,0.15291269,0.13354932,0.12237178,0.105571076,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.0236219447448,30.150110965139298]}"
37_0,0.37240747,0.40748498,0.42776415,0.41827068,0.3740024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.362282232576009,30.923560424766205]}"
38_0,0.23119892,0.2806339,0.22673178,0.2561523,0.23037541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.348632414539242,30.784501218784502]}"
39_0,0.16106968,0.24495155,0.1599216,0.1568963,0.17867829,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.333001728595564,30.731949774663512]}"
40_0,0.12515499,0.15291977,0.12865281,0.1339521,0.12542869,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.082371764326217,30.85025789758205]}"
41_0,0.22546563,0.2666262,0.2146275,0.23005,0.17299686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.007357863820385,30.67939833054252]}"
42_0,0.089986086,0.09013523,0.10626614,0.12209687,0.09815921,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.24639956092459,30.05363190362486]}"
43_0,0.1080766,0.13527581,0.112904586,0.13840263,0.115655735,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.740652630247151,30.422031001642274]}"
44_0,0.117492974,0.12025998,0.11932036,0.13929185,0.11479214,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.061256780867557,30.22395248149392]}"
45_0,0.14300923,0.14027172,0.13808563,0.1396649,0.14407717,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.54877248555922,30.245242553727554]}"
46_0,0.18840678,0.26159257,0.26191178,0.3101305,0.20301376,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.62423096942526,30.824655911984646]}"
47_0,0.21061413,0.24340639,0.28162274,0.23822291,0.21966545,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.86947104198989,30.540608619146052]}"
48_0,0.15200885,0.19499888,0.19486013,0.17122616,0.15514584,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.406209849969454,30.468384070302843]}"
49_0,0.17201836,0.18067515,0.17514049,0.1536256,0.14404072,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.201757865585702,30.351423420310482]}"
50_0,0.12951154,0.15610899,0.13468814,0.13570073,0.11862155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.627195409862855,30.242547607875196]}"
51_0,0.1588829,0.1673577,0.20977594,0.22535722,0.17091487,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.692143604904697,30.906582265896347]}"
52_0,0.15632045,0.16902956,0.15097848,0.15243717,0.15004538,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.051379887024094,30.805791291018135]}"
53_0,0.18509464,0.28137326,0.21250962,0.18789823,0.20725742,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.361298660045328,30.95643876416498]}"
54_0,0.15129858,0.20911346,0.14295238,0.16016392,0.14406046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.14920642146471,30.40289688609053]}"
55_0,0.25916544,0.28945813,0.3070523,0.29475883,0.26393184,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.720440536354461,30.88475320449224]}"
56_0,0.2058333,0.2028252,0.1984751,0.20056807,0.20532486,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.421395952552924,30.704461326969454]}"
57_0,0.1496526,0.13472712,0.1362295,0.16297409,0.1135155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.62045804523196,30.1719400265434]}"
58_0,0.19266663,0.21192229,0.17087154,0.18955775,0.16239819,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.101505879877962,30.74380753641389]}"
59_0,0.119010344,0.13646013,0.11594909,0.10059828,0.10637111,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.170226999113106,30.42230049622751]}"
60_0,0.16194016,0.22279266,0.22687854,0.19618224,0.18604948,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.94492952585593,30.6807458034687]}"
61_0,0.08884463,0.08486237,0.08660073,0.097919635,0.08862408,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.055058405407133,30.107261326086796]}"
62_0,0.12674765,0.17743114,0.15479988,0.14462718,0.15168837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.136540175958624,30.801209883069127]}"
63_0,0.43769825,0.45592147,0.4719598,0.421868,0.3641451,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.934688731616967,30.733566742174926]}"
64_0,0.111146785,0.10753678,0.1422681,0.13363034,0.11423956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.199238008508315,30.16493316732727]}"
65_0,0.16014697,0.14301895,0.15876687,0.1866936,0.14247718,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.354736384189405,30.483745261661287]}"
66_0,0.06866655,0.11741268,0.08946249,0.09151796,0.074102916,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.478164904227427,30.23446277031812]}"
67_0,0.11178966,0.124160066,0.12816612,0.12496097,0.11285864,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.280355878664308,30.286205730683402]}"
68_0,0.12654819,0.15323229,0.14425907,0.13821611,0.12512363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.555240355604882,30.41906656120468]}"
69_0,0.08146631,0.0775867,0.102580145,0.10893363,0.09631354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.28871021080662,30.994168006098]}"
70_0,0.2758452,0.2750386,0.2937944,0.1688583,0.23037675,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.768141077941209,30.518779557741947]}"
71_0,0.13743393,0.16340327,0.14627115,0.16655186,0.13159162,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.414294687526528,30.76967901659653]}"
72_0,0.13645077,0.16913185,0.1648142,0.14069144,0.14278625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.33515768527745,30.834357717053138]}"
73_0,0.15878265,0.18595088,0.16511445,0.18914115,0.15894008,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.209209308162041,30.743538041828653]}"
74_0,0.106888846,0.105446406,0.09902543,0.11734013,0.10857552,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.572218514474741,30.918440027646724]}"
