system:index,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023,NDVI_2024,.geo
0_0,0.08328407,0.0864672,0.06901803,0.08065466,0.08303095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.853287644030185,30.545190027095064]}"
1_0,0.3745295,0.3300915,0.31886524,0.32504597,0.29260814,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.846914179794788,31.419699956185415]}"
2_0,0.08095587,0.076158576,0.09548839,0.08775058,0.07608851,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.886435478014195,30.99282053317182]}"
3_0,0.13023289,0.123399444,0.1401688,0.10625763,0.1257054,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.281784034555196,30.644094539876622]}"
4_0,0.09848537,0.09899865,0.09951878,0.103438705,0.096042134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.705968511716435,30.99093407107517]}"
5_0,0.07659545,0.07865572,0.08670698,0.079743005,0.07794868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.251236740613281,31.36741800664966]}"
6_0,0.4384875,0.40110442,0.37227795,0.34262866,0.3131778,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.058197934619699,31.480875227033955]}"
7_0,0.14708422,0.17946179,0.17150268,0.16583346,0.14654033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.829127537169221,31.350709342365036]}"
8_0,0.3006235,0.2678132,0.23429723,0.18985371,0.16139966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.961718873105262,31.90856313380326]}"
9_0,0.5418364,0.4912695,0.4112157,0.36573508,0.40478292,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.875750100415024,31.42589833164584]}"
10_0,0.07151369,0.083545245,0.076293506,0.07871043,0.07257045,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.8035255515718145,31.172573421524135]}"
11_0,-0.016726267,-0.0094028935,0.09049446,0.10353173,0.15865295,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.724024648927237,31.529653746961646]}"
12_0,0.09496822,0.094368815,0.09139772,0.09596964,0.08757176,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.2949892692317535,30.813067644819505]}"
13_0,0.12579393,0.111617945,0.10946446,0.125889,0.10423417,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.249889267687102,31.754681725633585]}"
14_0,0.096289836,0.10275344,0.0981464,0.09174936,0.09132496,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.178567608409863,30.794203023852994]}"
15_0,0.061150793,0.060984697,0.06250964,0.059500355,0.06225566,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.75959793417837,31.078250316691587]}"
16_0,0.22356734,0.18932669,0.18992023,0.18137908,0.17488095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.816366885852872,31.925271798087884]}"
17_0,0.12379089,0.14487675,0.12564099,0.14160913,0.12517782,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.196448656845694,30.92329093018097]}"
18_0,0.1326997,0.12858126,0.120400146,0.13010669,0.11511905,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.207497934840363,31.92931421686642]}"
19_0,0.12681143,0.13245092,0.159128,0.13120127,0.113063805,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.750879701640559,31.14185103880725]}"
20_0,0.11561031,0.11521942,0.11378852,0.12731063,0.10621403,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.416975910533333,31.538277573689193]}"
21_0,0.122938074,0.16691743,0.13640489,0.1389561,0.12424841,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.540593242191882,31.85062179797755]}"
22_0,0.095373504,0.09273888,0.095922224,0.09355222,0.09155563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.046420855834031,31.75387324187788]}"
23_0,0.12762795,0.13188362,0.12037513,0.12232528,0.11965776,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.1673432416402205,31.982404650157886]}"
24_0,0.24024262,0.23728864,0.192572,0.19424416,0.16641647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.879347935833354,30.679128835957282]}"
25_0,0.28921455,0.2562851,0.21463339,0.21485111,0.21031967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.572029702854214,31.879727213183024]}"
26_0,0.23042548,0.20606185,0.18633424,0.20334516,0.1972874,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.466118330856522,31.627749775987496]}"
27_0,0.06263151,0.07315147,0.07914422,0.07061766,0.065427445,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.672012193976717,30.589387139073743]}"
28_0,0.39521483,0.3302226,0.3300945,0.3200935,0.32070783,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.909706418154742,31.934165119400667]}"
29_0,0.14311264,0.18233366,0.14711331,0.13542725,0.111341245,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.234447393363949,31.97809273679411]}"
30_0,0.10775564,0.105370305,0.09837136,0.11178714,0.10822896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.881045586309478,31.24506746495258]}"
31_0,0.06866805,0.24620664,0.2245321,0.23919323,0.2316744,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.455608042032324,31.68434363888703]}"
32_0,0.09039539,0.090513304,0.09204588,0.09959445,0.092058696,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.933866525015706,30.718744539986954]}"
33_0,0.18454549,0.20313664,0.18032227,0.18359822,0.16124742,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.114252808348757,31.813431545215003]}"
34_0,0.42237523,0.4116782,0.42388746,0.40592667,0.3634447,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.659076453885396,31.829601220329153]}"
35_0,0.113902986,0.109147124,0.124875456,0.14706998,0.10184101,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.166804252469749,30.754587319823322]}"
36_0,0.099460475,0.11621844,0.15028709,0.12661149,0.11657337,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.049304613306916,30.729793817981623]}"
37_0,0.10333939,0.120760076,0.1167908,0.124386914,0.1031751,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.725277716043153,31.889698512836752]}"
38_0,0.31590006,0.29405555,0.29331845,0.29982427,0.30175355,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.697439090799151,31.678684252597076]}"
39_0,0.36693576,0.35401592,0.2939392,0.33113495,0.3159227,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.666447213497027,31.600261328293442]}"
40_0,0.19593279,0.2215916,0.18176451,0.18913315,0.16567034,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.16545677954357,31.780014216645757]}"
41_0,0.08583521,0.08829858,0.08502621,0.09339169,0.08711621,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.014889989361436,31.519143458137446]}"
42_0,0.1136729,0.09875201,0.11078864,0.1194864,0.112344116,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.492703888984608,30.583458258198554]}"
43_0,0.093077235,0.10447016,0.10870286,0.104678266,0.09537839,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.484713457237796,31.13861710378442]}"
44_0,0.08425815,0.0774078,0.08945926,0.09514406,0.11852171,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.122418328870542,30.83678316832026]}"
45_0,0.12083801,0.12927912,0.12229062,0.12827633,0.111829415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.099066705765286,30.872895442741864]}"
46_0,0.14782433,0.14374438,0.14246115,0.14013103,0.13884765,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.250253168082601,31.742284974712735]}"
47_0,0.041740473,0.06410538,0.064084046,0.05777374,0.06658899,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.742350280723275,31.31621403545485]}"
48_0,0.14026432,0.12428675,0.14780758,0.13999343,0.122952454,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.814480423756221,31.20679923384909]}"
49_0,0.14883855,0.15528028,0.15930288,0.16176938,0.13464847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.405576454988718,31.03054977510484]}"
