iter	MultiClass
0	1.397850564
1	1.23890919
2	1.093698702
3	0.9783874704
4	0.8953202693
5	0.8201911043
6	0.7482944281
7	0.6819940624
8	0.6328836123
9	0.5950470458
10	0.5552824776
11	0.5203505913
12	0.4938493139
13	0.4696122139
14	0.4410976318
15	0.416994428
16	0.3948597593
17	0.3742940016
18	0.3580589058
19	0.3417341812
20	0.3266617102
21	0.3131195462
22	0.2979454332
23	0.287286522
24	0.2772526424
25	0.2666493164
26	0.2578509015
27	0.2510302404
28	0.2443567459
29	0.2375708361
30	0.2316363593
31	0.2263207595
32	0.2204955504
33	0.2149433274
34	0.2082754988
35	0.2040588589
36	0.20116043
37	0.1964171739
38	0.1930892818
39	0.189426368
40	0.1870134946
41	0.1825100073
42	0.1795887901
43	0.1775707144
44	0.1749073148
45	0.1708656668
46	0.1682695725
47	0.1649186318
48	0.1621335428
49	0.160138795
50	0.1580387943
51	0.155517526
52	0.1533421669
53	0.1515449836
54	0.1492886428
55	0.1472862908
56	0.1456034276
57	0.1442564804
58	0.1417359264
59	0.1403192149
60	0.1386728504
61	0.1372641799
62	0.1355178909
63	0.1345425996
64	0.1334921158
65	0.1321688166
66	0.1311339467
67	0.1290338376
68	0.128070376
69	0.1268913395
70	0.1253930109
71	0.1245407948
72	0.1234720244
73	0.1229894982
74	0.1215593333
75	0.1204205106
76	0.1196348737
77	0.1189040437
78	0.1177337044
79	0.1167745552
80	0.1156084218
81	0.1149104085
82	0.1140451734
83	0.11298575
84	0.1123862632
85	0.1116203195
86	0.1107541095
87	0.110211487
88	0.1096499186
89	0.1087759104
90	0.107975417
91	0.107405036
92	0.106826102
93	0.1062548451
94	0.1055042774
95	0.105341708
96	0.1048670713
97	0.1041997844
98	0.1037535814
99	0.1027586219
100	0.1025469978
101	0.1021901942
102	0.1011309904
103	0.1007258277
104	0.100248503
105	0.09936191674
106	0.09872213521
107	0.09823836656
108	0.09780004515
109	0.09712148744
110	0.09676423654
111	0.09590093295
112	0.09517869755
113	0.09464294303
114	0.0935795921
115	0.09312514198
116	0.09240158159
117	0.09158208739
118	0.09106837594
119	0.09055392782
120	0.08994176668
121	0.08935861591
122	0.08882053551
123	0.08848674743
124	0.08796323782
125	0.08706936023
126	0.08665576379
127	0.08609039415
128	0.08582257566
129	0.08553945949
130	0.08457701428
131	0.08403571041
132	0.08364855718
133	0.08269717131
134	0.08237956813
135	0.08198109393
136	0.08133808162
137	0.0810366816
138	0.08057603181
139	0.08039077325
140	0.07992047359
141	0.07886609388
142	0.07834403431
143	0.07806006953
144	0.07797847649
145	0.07755660798
146	0.07725198577
147	0.07676918284
148	0.07639354954
149	0.07621099535
150	0.07573690921
151	0.07518304221
152	0.07457680539
153	0.07406437589
154	0.07343424131
155	0.07309353806
156	0.07301603746
157	0.07239733621
158	0.07205220336
159	0.07139313303
160	0.07088913445
161	0.07029783859
162	0.07002735288
163	0.06956380367
164	0.06935772267
165	0.06920574909
166	0.06877973458
167	0.06830465402
168	0.06822709831
169	0.06800199826
170	0.06787701499
171	0.06755163676
172	0.06724199814
173	0.06692846359
174	0.06671595827
175	0.06621531215
176	0.06559478569
177	0.06478747048
178	0.06465307786
179	0.06437964322
180	0.06398787077
181	0.06376086414
182	0.06344043908
183	0.06316713026
184	0.06290853683
185	0.06260479961
186	0.06244844682
187	0.06232731968
188	0.06205877781
189	0.06169739915
190	0.06146153729
191	0.06131087734
192	0.06103454473
193	0.06076005232
194	0.06050967503
195	0.06024857526
196	0.06004759775
197	0.05980857471
198	0.05952381228
199	0.05934409446
