iter	Passed	Remaining
0	67	13460
1	123	12273
2	190	12479
3	251	12325
4	315	12298
5	371	12018
6	430	11879
7	486	11677
8	543	11544
9	598	11365
10	652	11206
11	714	11186
12	782	11260
13	840	11161
14	900	11107
15	969	11144
16	1046	11262
17	1115	11282
18	1181	11255
19	1249	11249
20	1315	11210
21	1380	11165
22	1442	11103
23	1509	11070
24	1580	11065
25	1642	10994
26	1711	10969
27	1784	10962
28	1858	10959
29	1927	10924
30	1992	10859
31	2060	10815
32	2125	10756
33	2195	10718
34	2257	10643
35	2318	10561
36	2398	10565
37	2470	10530
38	2531	10451
39	2595	10383
40	2652	10286
41	2716	10218
42	2777	10140
43	2838	10063
44	2901	9992
45	2960	9909
46	3024	9846
47	3088	9779
48	3157	9729
49	3221	9665
50	3291	9615
51	3356	9551
52	3413	9468
53	3471	9385
54	3529	9306
55	3590	9231
56	3651	9160
57	3710	9083
58	3780	9034
59	3849	8982
60	3914	8919
61	3979	8858
62	4043	8793
63	4105	8725
64	4166	8653
65	4243	8615
66	4330	8595
67	4408	8558
68	4476	8499
69	4541	8434
70	4611	8378
71	4680	8320
72	4745	8256
73	4811	8193
74	4875	8125
75	4935	8052
76	5000	7988
77	5065	7922
78	5129	7856
79	5193	7789
80	5251	7714
81	5314	7647
82	5374	7576
83	5437	7508
84	5500	7442
85	5561	7372
86	5626	7308
87	5689	7240
88	5746	7167
89	5814	7106
90	5875	7037
91	5937	6970
92	6003	6906
93	6062	6836
94	6131	6776
95	6191	6706
96	6256	6643
97	6324	6582
98	6394	6523
99	6490	6490
100	6561	6431
101	6626	6366
102	6688	6299
103	6750	6231
104	6811	6162
105	6871	6093
106	6938	6031
107	7000	5963
108	7060	5894
109	7118	5824
110	7175	5753
111	7231	5682
112	7299	5619
113	7359	5552
114	7415	5481
115	7470	5409
116	7536	5346
117	7596	5278
118	7657	5212
119	7719	5146
120	7785	5082
121	7843	5014
122	7901	4946
123	7956	4876
124	8011	4806
125	8069	4739
126	8124	4670
127	8184	4603
128	8242	4536
129	8296	4467
130	8354	4400
131	8414	4334
132	8475	4269
133	8533	4203
134	8590	4136
135	8644	4067
136	8703	4002
137	8756	3934
138	8901	3906
139	8979	3848
140	9037	3781
141	9093	3714
142	9150	3647
143	9205	3579
144	9263	3513
145	9318	3446
146	9372	3379
147	9436	3315
148	9489	3248
149	9548	3182
150	9601	3115
151	9661	3050
152	9718	2985
153	9769	2918
154	9827	2853
155	9889	2789
156	9958	2727
157	10016	2662
158	10076	2598
159	10137	2534
160	10195	2469
161	10270	2409
162	10343	2347
163	10401	2283
164	10458	2218
165	10515	2153
166	10574	2089
167	10630	2024
168	10689	1960
169	10742	1895
170	10801	1831
171	10853	1766
172	10912	1703
173	10972	1639
174	11029	1575
175	11089	1512
176	11145	1448
177	11197	1384
178	11259	1320
179	11318	1257
180	11373	1193
181	11428	1130
182	11485	1066
183	11540	1003
184	11598	940
185	11654	877
186	11709	813
187	11769	751
188	11832	688
189	11888	625
190	11947	562
191	12012	500
192	12077	438
193	12134	375
194	12191	312
195	12247	249
196	12310	187
197	12372	124
198	12430	62
199	12489	0
