system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,SAVI,aspect,elevation,precipitation,slope,.geo
0_0,4624.0,4168.5,1473.0,2078.0,2736.0,3048.0,3362.5,3555.5,3683.0,3709.5,0.26152995,0.27859747,-0.06183532,-0.11327796,0.14753076,0.22127892,358.28934,2287.0,184.24182,32.27669,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,3064.0,2540.5,1000.0,1448.0,1940.0,2236.5,2497.0,2612.0,2698.5,2773.5,0.2772498,0.30157965,0.030158427,-0.06342733,0.16352269,0.2452576,60.226067,2211.0,239.18277,35.646904,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3606.5833,3313.0,853.0,1275.0,1920.0,2159.0,2215.0,2384.9,2436.3333,2534.5,0.17074889,0.31291538,-0.15248147,-0.19365649,0.11852474,0.1777667,254.00542,576.0,106.46818,3.3621418,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,4027.5,3710.5,1190.5,1695.5,2325.0,2588.0,2664.0,2780.0,2790.5,2850.5,0.14895524,0.24409273,-0.14151669,-0.1814315,0.09099795,0.13648358,180.0,684.0,154.41339,2.7802885,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,5329.0,4764.0,1448.5,2209.0,3321.0,3661.0,3791.0,3922.0,3991.5,4026.5,0.12840153,0.2874768,-0.08823025,-0.14350088,0.091692306,0.13752906,345.52997,636.0,89.75532,16.747892,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,5552.1,4889.4,1769.0,2454.925,3288.625,3776.25,3971.25,4118.25,4133.1665,4295.6665,0.19921407,0.25473863,-0.083815776,-0.14650434,0.11379214,0.17067671,7.9424276,828.0,103.18371,22.225609,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,3226.5,2686.5,818.5,1199.5,1605.5,1917.5,2096.0,2251.0,2282.0,2369.5,0.2927431,0.3109292,-0.081412904,-0.17146228,0.17401929,0.26099536,145.05547,1010.0,170.76065,5.639175,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,3151.5,2807.0,949.0,1347.0,1991.5,2402.5,2693.0,2843.5,2839.5,2988.0,0.27632952,0.35650304,0.005755778,-0.052078117,0.17553301,0.2632723,-0.0,1606.0,249.23448,13.648223,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,4485.4,4234.0,1207.8334,1819.2858,2987.0,3293.2083,3366.5,3493.2856,3527.0,3543.0,0.10894785,0.31942067,-0.091096506,-0.119614586,0.08289837,0.124338016,246.73737,611.0,161.06763,2.3470826,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,3217.5,2619.5,1192.5,1576.0,1970.5,2091.0,2516.0,2624.5,2771.0,2825.5,0.3541252,0.27490222,0.028105,-0.07455957,0.16882843,0.25321594,235.52754,2327.0,239.18277,42.464546,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,3336.0,2812.0,1299.0,1773.5,2162.5,2377.0,2455.5,2579.0,2571.0,2619.0,0.17594108,0.18356542,-0.044770572,-0.12950736,0.08629978,0.129436,36.091866,1565.0,289.36456,32.661556,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,2678.5,1984.5,609.0,881.0,1111.5,1504.5,2057.5,2258.5,2305.0,2446.0,0.6769711,0.44695544,0.074717335,-0.07494733,0.34933412,0.52392447,160.37062,2283.0,257.37128,40.102123,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,3951.5,3709.4,1200.0,1696.875,2438.0,2769.5,3185.5,3373.75,3447.5,3521.5,0.27805322,0.34029886,-0.036594044,-0.06811731,0.17152323,0.257263,-0.0,573.0,114.25702,2.7802885,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,3727.5,3336.5,1116.0,1603.0,2273.0,2622.0,2846.0,3077.5,3096.0,3236.5,0.24596533,0.31772718,-0.03738826,-0.09254781,0.1532874,0.22990967,229.263,319.0,56.03343,1.4209594,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,4185.5,3790.5,1241.4,1757.5,2513.0,2948.5,3016.25,3211.625,3130.0,3335.5,0.17334382,0.2808184,-0.09544108,-0.14428268,0.109339006,0.16399397,329.81976,613.0,153.2258,2.1448538,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,4377.0,3835.5,1109.0,1697.0,2572.0,2894.5,3005.0,3140.5,3172.0,3278.5,0.14580803,0.30293694,-0.094684266,-0.15962379,0.10445683,0.1566716,92.34906,1074.0,81.63301,21.551296,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,4283.0,3682.5,1665.5,2324.5,2995.0,3261.0,3437.5,3596.5,3678.0,3674.5,0.1864541,0.22548938,-6.1137154E-4,-0.075995475,0.10235277,0.15351765,27.380442,2545.0,239.5078,39.3638,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,2668.0,2521.5,885.0,1260.5,1965.5,2252.0,2332.0,2454.0,2457.5,2508.5,0.16154452,0.32194728,-0.012853987,-0.041069165,0.111236714,0.16683622,153.43626,1316.0,255.92175,32.35178,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,3280.5,2656.0,814.4167,1195.5,1718.0,2058.0,2240.0,2425.2,2505.6667,2635.8333,0.29361883,0.3539875,-0.029124944,-0.13391133,0.18648885,0.27970016,90.0,633.0,143.739,1.0780706,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,5176.5,4478.6665,1166.1666,1806.7142,2835.0,3298.25,3470.6,3599.4,3648.95,3825.4285,0.17080125,0.33767396,-0.10208609,-0.17308466,0.12553304,0.18828504,59.401367,793.0,106.097374,19.280838,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,3864.5,3485.5,971.5,1447.5,2153.0,2432.0,2550.0,2710.0,2812.5,2861.0,0.19522808,0.32042253,-0.10685932,-0.15755579,0.13281643,0.1992046,310.72385,386.0,67.351555,1.4213377,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,4292.5,3771.0,1090.0,1636.0,2427.0,2802.5,2983.5,3058.5,3114.5,3213.5,0.18087345,0.3112304,-0.09534529,-0.15903875,0.12406388,0.18607904,158.82487,831.0,115.63357,5.9464507,"{""type"":""MultiPoint"",""coordinates"":[]}"
