system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,SAVI,aspect,elevation,precipitation,slope,.geo
0_0,4055.0,3583.5,1060.0,1596.0,2346.5,2585.5,2672.0,2774.5,2837.0,2846.5,0.13675143,0.27994585,-0.1162682,-0.17672664,0.09462718,0.14192708,38.542408,977.0,56.20925,18.322044,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,3561.5,3182.5,1154.0,1639.0,2348.0,2593.0,2682.0,2758.5,2817.0,2862.5,0.14210398,0.26436266,-0.060921744,-0.11672023,0.09080348,0.13619204,230.83107,1028.0,76.136635,23.542765,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,2564.5,2047.5,946.5,1287.0,1701.0,1997.0,2145.5,2236.5,2256.0,2322.5,0.25865686,0.27349705,0.048448935,-0.06399751,0.14025778,0.21036008,27.739096,1254.0,55.469055,11.37529,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,4697.0,4069.5,1725.5,2338.5,3245.0,3573.5,3646.0,3714.0,3758.5,3754.0,0.12477826,0.23290142,-0.039729178,-0.11099284,0.073320486,0.10997287,229.17606,1369.0,69.28063,8.450699,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,3219.5,2933.5,1236.5,1645.0,2545.0,2872.5,2988.5,3037.0,2949.5,2958.5,0.113029875,0.28392643,0.0027197008,-0.043767225,0.073619075,0.110418566,265.05322,1618.0,62.028667,10.6322155,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,4772.0,4241.5,1246.0,1922.0,3028.0,3329.0,3444.5,3563.5,3623.0,3623.0,0.11950671,0.30676284,-0.078644544,-0.13686718,0.08946023,0.13418026,256.1251,1246.0,53.7861,7.688955,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,4797.0,4355.5,1453.0,2236.0,3305.5,3614.5,3701.5,3795.5,3811.5,3797.5,0.09923125,0.26052088,-0.066609524,-0.11447988,0.071097374,0.106638566,183.89891,1346.0,76.202965,15.42048,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,3988.5,3488.5,893.0,1349.0,2186.0,2482.5,2630.0,2771.5,2800.0,2875.0,0.16649494,0.34972283,-0.10948557,-0.1750755,0.123144805,0.18469869,329.89493,1563.0,84.64567,6.4058433,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,2521.5,2138.0,1313.0,1677.0,2209.5,2408.0,2478.0,2565.0,2591.0,2582.5,0.1589186,0.21415183,0.09579192,0.013594132,0.07947089,0.11919392,320.8851,1706.0,70.98144,37.66658,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,3994.0,3624.0,1245.5,1743.5,2574.5,2925.0,2963.0,3089.5,3011.5,3076.5,0.11981466,0.26666668,-0.09230653,-0.14024694,0.07823129,0.11733644,262.97446,1022.0,76.136635,7.5391793,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,3468.0,2951.5,780.5,1219.5,1794.5,2085.0,2219.0,2366.0,2469.5,2533.5,0.2285424,0.33884522,-0.088913485,-0.16816843,0.15830207,0.23742525,343.82312,1203.0,84.02113,3.857074,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,4511.0,4018.0,1239.5,1817.5,2716.0,3123.5,3260.5,3418.0,3430.0,3527.5,0.17112863,0.30728918,-0.078947365,-0.13612895,0.11617312,0.1742455,33.518036,982.0,71.02149,15.207312,"{""type"":""MultiPoint"",""coordinates"":[]}"
