system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,SAVI,aspect,elevation,precipitation,slope,.geo
0_0,3863.0,3161.0,1279.0,1767.0,2366.0,2729.0,3104.0,3361.0,3480.0,3587.0,0.34448636,0.32647228,0.048034936,-0.05215852,0.19055764,0.28581202,229.206,110.0,48.5488,1.4193212,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,4369.0,3951.0,1279.0,1800.0,2585.0,2967.0,3137.0,3287.0,3387.0,3468.0,0.21546397,0.3059572,-0.07686018,-0.12661165,0.13429336,0.20142318,270.0,175.0,47.344658,1.0751015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,4053.0,3829.0,1363.5,2026.5,2917.0,3202.0,3269.5,3395.0,3408.5,3380.0,0.11499497,0.25427783,-0.05810017,-0.086376734,0.07770137,0.11654284,201.08899,186.0,42.493702,2.9795249,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,4592.0,4358.0,1254.0,1952.0,3054.0,3387.0,3492.0,3630.0,3676.0,3710.0,0.12345189,0.30632553,-0.08488922,-0.110788584,0.09242199,0.13862269,66.63792,241.0,41.257244,2.3376586,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,4101.0,3662.0,875.0,1315.0,1943.0,2254.0,2474.0,2640.0,2775.0,2832.0,0.26424444,0.35696822,-0.13779712,-0.19284467,0.17634591,0.26449084,276.17487,756.0,39.278545,16.751299,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,3981.5,3712.0,1390.5,2047.0,3036.5,3361.0,3341.5,3458.5,3450.0,3461.5,0.091960415,0.25523013,-0.03658196,-0.07151988,0.063747786,0.09561431,198.28784,104.0,46.616226,6.8056116,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,4812.0,4506.0,1710.0,2499.0,3629.0,3988.0,4074.0,4195.0,4235.0,4227.0,0.1149033,0.25779626,-0.031003317,-0.06377805,0.07706002,0.11558268,180.0,218.0,43.355873,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,4378.0,4089.0,1282.0,1947.0,3027.0,3360.0,3458.0,3545.0,3621.0,3600.0,0.12203139,0.30064654,-0.06070039,-0.09463683,0.08935018,0.13401519,229.22653,168.0,51.029003,1.4199109,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,2337.0,2199.0,925.0,1179.0,1718.0,1978.0,2096.0,2188.0,2167.0,2212.0,0.2026722,0.29527795,-0.0073293634,-0.037744228,0.11557271,0.17333676,115.238754,343.0,40.02873,12.832314,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,4876.0,4551.0,1518.0,2217.0,3270.0,3644.0,3771.0,3883.0,3964.0,3991.0,0.14221312,0.28264034,-0.06893717,-0.10316742,0.09593586,0.14389384,310.78305,178.0,47.344658,1.4196354,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,3671.0,2726.0,2658.0,3266.0,3598.0,3981.0,4734.0,5243.0,5280.0,5279.0,0.6064321,0.23566581,0.31901073,0.17975645,0.18945709,0.2841696,-0.0,174.0,61.615215,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,5171.0,4921.0,1764.0,2442.0,3423.0,3775.0,3837.0,4008.0,4085.0,4145.0,0.14525189,0.25172362,-0.09282701,-0.1173293,0.088172615,0.13225012,-0.0,167.0,49.591427,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,5021.0,4502.0,1278.0,1938.0,2989.0,3491.0,3649.5,3816.0,3715.0,3954.5,0.15043515,0.31434637,-0.09577705,-0.14949633,0.108293556,0.16242822,13.027295,311.0,40.304028,4.7490573,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,4141.0,3910.5,1243.5,1864.0,2780.5,3099.5,3193.0,3341.5,3375.5,3358.5,0.13858803,0.2884817,-0.0734285,-0.10184261,0.09665367,0.14496873,304.70374,128.0,44.736416,6.4884524,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,4245.5,4065.0,942.0,1464.0,2457.0,2768.0,2880.5,3030.5,3106.0,3160.0,0.15045437,0.35929978,-0.1337331,-0.15500239,0.11666367,0.17497978,293.369,259.0,42.083145,2.3370085,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,3519.0,2999.0,1287.0,1838.0,2623.0,2839.0,2954.0,3065.0,3089.0,3150.0,0.12696856,0.25390705,0.01478318,-0.06507264,0.081582636,0.12236324,79.66921,753.0,35.756863,19.853157,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,2575.0,1954.0,446.0,839.0,1024.0,1579.0,2789.0,3293.0,3477.0,3534.0,0.97697943,0.6112141,0.2804272,0.14904164,0.54499,0.8173942,-0.0,79.0,50.257812,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,2611.0,1770.0,606.0,1019.0,934.0,1566.0,3130.0,3757.0,3901.0,4050.0,1.4951622,0.58577234,0.37577146,0.19809583,0.61365044,0.92038053,210.12572,224.0,59.087288,2.1436698,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,4365.0,3900.0,1159.0,1767.0,2702.0,3085.0,3173.0,3284.0,3326.0,3403.0,0.1438252,0.30610642,-0.07943537,-0.13509296,0.10351692,0.1552625,329.96027,819.0,38.666943,6.4016485,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,4199.5,3941.5,1520.0,2163.0,3106.5,3463.0,3499.0,3597.0,3593.0,3600.5,0.11227269,0.24843642,-0.046253897,-0.077831246,0.07261736,0.10891791,180.0,159.0,42.102715,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,4375.5,4059.0,1570.0,2245.5,3223.5,3587.0,3693.5,3782.5,3747.5,3801.5,0.11578064,0.25062573,-0.039902646,-0.07731134,0.07516856,0.11274475,180.0,143.0,38.928616,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,5539.0,4699.0,1225.0,1939.5,3172.5,3605.0,3762.5,3933.5,3945.0,3977.0,0.1400116,0.3408106,-0.087228134,-0.16807254,0.1085353,0.16279152,349.0928,1111.0,39.782196,5.648951,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,4694.0,4248.5,1693.0,2446.0,3429.0,3838.5,3877.0,3994.0,4011.0,4067.5,0.12238718,0.24237262,-0.028754767,-0.078460656,0.07822581,0.11733083,329.9813,111.0,42.42679,2.141355,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,4443.0,3849.0,1233.0,1877.0,2854.0,3129.0,3240.0,3347.0,3468.0,3428.0,0.13529593,0.29766136,-0.05207052,-0.12324611,0.097121164,0.14567022,246.6179,889.0,38.51539,13.7520895,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,3996.5,3555.0,1206.0,1749.0,2556.5,2931.0,3144.0,3365.0,3421.0,3462.0,0.22244236,0.32340425,-0.019208716,-0.077586785,0.14462568,0.21692038,-0.0,282.0,53.506283,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,4148.0,3658.0,1001.0,1581.0,2511.0,2854.0,3029.0,3215.0,3298.0,3355.0,0.18121114,0.35191637,-0.051753882,-0.11415525,0.13547944,0.20320165,-0.0,191.0,42.23073,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,5169.0,4890.0,1513.0,2252.0,3403.0,3806.0,3864.0,4082.0,4078.0,4162.0,0.12833187,0.28846762,-0.09054416,-0.11798421,0.09022858,0.13533382,-0.0,154.0,48.09565,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,4693.0,4330.0,1172.0,1761.0,2796.0,3273.0,3413.0,3539.0,3439.0,3606.0,0.1406879,0.3226923,-0.11468658,-0.1542056,0.10312751,0.15467885,-0.0,531.0,37.118416,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,4076.0,3599.0,1298.0,1975.0,2687.0,2997.0,3021.0,3127.0,3074.0,3116.0,0.10225111,0.21766686,-0.078675255,-0.14013986,0.067175835,0.10075501,286.07016,339.0,40.02873,6.670868,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,5765.0,4930.0,1552.0,2443.0,3845.0,4104.0,4342.0,4437.0,4632.0,4506.0,0.12248646,0.3093993,-0.031165028,-0.10897374,0.09283945,0.13925096,96.169876,911.0,37.827217,8.565311,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,4186.5,4034.5,945.0,1556.0,2691.5,3008.5,3151.0,3261.5,3342.5,3315.0,0.1311971,0.36470348,-0.09380507,-0.11209988,0.10788863,0.16181953,286.08533,216.0,43.485207,3.3437116,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,4372.0,3931.0,1341.0,1877.0,2663.0,3029.0,3268.0,3431.0,3493.0,3637.0,0.2204047,0.3009311,-0.058997843,-0.11176097,0.13482781,0.2022253,270.0,158.0,48.09565,1.074845,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,3788.0,3625.0,864.0,1399.0,2344.0,2670.0,2841.0,2950.0,3046.0,3027.0,0.16508324,0.3705287,-0.08679359,-0.10857477,0.13024119,0.19534366,49.185516,161.0,42.883465,1.4187338,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,4718.0,4414.0,1458.0,2118.0,3027.0,3353.0,3404.0,3530.0,3521.0,3510.0,0.11489441,0.24880297,-0.11253938,-0.14528462,0.07544288,0.113155685,310.83234,311.0,40.903522,2.8347085,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,4756.0,4389.0,1220.0,1880.0,3000.0,3415.0,3578.0,3730.0,3730.0,3800.0,0.14506002,0.32976827,-0.08116763,-0.12090502,0.10846954,0.16269222,-0.0,190.0,40.759396,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,5497.0,4732.0,1499.0,2377.0,3615.0,3994.0,4119.0,4244.0,4248.0,4280.0,0.1076787,0.2824151,-0.05389755,-0.12816828,0.08050363,0.12074776,231.37717,745.0,35.000824,17.28656,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,4854.0,3995.0,1127.0,1685.0,2544.0,2912.0,3123.0,3284.0,3454.0,3412.0,0.22159451,0.34423038,-0.0726272,-0.16851228,0.15171725,0.22755688,40.91796,736.0,35.000824,4.8976803,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,4629.0,4426.0,1225.0,1824.0,2910.0,3312.0,3464.0,3597.0,3680.0,3697.0,0.1610407,0.3372093,-0.09203059,-0.114213504,0.1168437,0.17525226,293.32443,88.0,50.93861,2.341218,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,4670.5,4058.0,1150.0,1735.5,2684.5,3131.0,3237.0,3311.0,3319.5,3417.0,0.14695673,0.31335312,-0.10010166,-0.16908635,0.105762824,0.15863103,30.039865,1115.0,41.499397,8.508145,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,5396.5,4674.0,1652.5,2362.5,3252.0,3646.0,3794.0,3893.5,3915.0,3954.5,0.1502141,0.24731183,-0.08836884,-0.15910433,0.092507325,0.13875131,200.73822,637.0,41.499397,43.59167,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,5522.0,5194.0,1607.0,2420.0,3786.0,4181.0,4257.0,4376.0,4403.0,4358.0,0.102372654,0.29063463,-0.08242159,-0.11274559,0.07534497,0.11301056,270.0,328.0,40.903522,2.145623,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,3845.0,3492.5,903.0,1384.0,2154.0,2492.5,2657.0,2846.0,2980.5,3018.5,0.22624001,0.36579219,-0.07909779,-0.12665738,0.16096991,0.24143136,270.0,87.0,45.065254,1.0725615,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,3635.0,3442.0,1148.0,1596.0,2359.0,2689.0,2870.0,2969.0,3066.0,3100.0,0.20526071,0.3153153,-0.057775047,-0.0849127,0.13032258,0.19546586,180.0,57.0,44.894764,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,3534.0,3138.0,1185.0,1753.0,2512.0,2805.0,2953.0,3128.0,3172.0,3217.0,0.17632915,0.28812182,0.0053882725,-0.05398151,0.11611541,0.1741578,8.216866,664.0,38.06303,21.431805,"{""type"":""MultiPoint"",""coordinates"":[]}"
