system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
0_0,3079.0,2763.6667,1175.8334,1559.0,2294.0,2452.6667,2501.0,2578.0,2680.5,2678.6667,0.12669224,0.2645359,-0.015276304,-0.06919003,0.07769625,329.7392,1911.0,131.00713,25.978973,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,3015.0,2724.0,1063.0,1551.0,2112.0,2282.0,2348.0,2415.0,2460.0,2539.0,0.121499896,0.22662678,-0.050925925,-0.101369865,0.07611549,205.67899,2110.0,165.00131,16.980034,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3703.0,3523.0,1208.3334,1769.6666,2370.0,2556.0,2579.0,2667.0,2620.5,2596.0,0.08050521,0.19380435,-0.14690323,-0.17118685,0.05019537,155.03217,1329.0,149.48628,10.124346,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,4191.0,3813.5,1685.6666,2375.0,3242.3333,3502.0,3553.5,3643.5,3689.0,3647.0,0.10633404,0.21668865,-0.016594468,-0.063705586,0.06444168,149.7797,1027.0,163.45772,2.1457264,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,4096.0,3796.0,1074.5,1594.5,2433.5,2680.5,2762.0,2851.0,2890.5,2923.5,0.12110773,0.2889632,-0.13542213,-0.17254706,0.085837714,90.0,1453.0,177.2882,9.605583,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,3087.5,3118.5,1092.5,1533.5,2014.5,2230.0,2233.5,2301.5,2244.0,2263.0,0.09347127,0.18808736,-0.16307692,-0.15821064,0.053892214,130.67426,999.0,123.45904,5.673626,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,3640.0,3345.0,958.0,1421.0,2124.0,2336.0,2428.0,2526.0,2538.0,2552.0,0.12780933,0.28214195,-0.1371749,-0.17837487,0.08880309,189.46225,1322.0,167.96574,6.5532637,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,3926.0,3577.0,746.0,983.0,1611.0,1808.0,1908.0,1964.0,2045.0,2028.0,0.17737453,0.35072654,-0.2725009,-0.31502262,0.11870897,107.59125,2294.0,161.27234,28.17444,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,3872.0,3333.0,1354.0,1962.0,2548.0,2749.0,2805.0,2859.0,2778.0,2758.0,0.072674416,0.1721519,-0.090819836,-0.16451128,0.043184377,54.40813,980.0,154.74802,34.812508,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,3332.0,2907.0,976.0,1403.0,2072.0,2318.0,2390.0,2487.0,2556.0,2607.0,0.15777807,0.29123515,-0.06425041,-0.13179348,0.10458081,147.0307,2132.0,165.00131,9.851452,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,4606.0,3872.0,1172.0,1813.0,2746.0,3062.0,3158.0,3319.0,3416.0,3428.0,0.15086013,0.30655956,-0.062568605,-0.14834206,0.108730935,279.7056,1802.0,137.75333,5.484785,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,3139.0,2793.0,1061.0,1437.0,1976.0,2179.0,2246.0,2299.0,2337.0,2370.0,0.14471258,0.23847377,-0.08888889,-0.14645727,0.08370044,160.24184,1652.0,160.04053,12.604292,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,4023.5,3787.0,1121.6842,1687.8077,2532.8,2793.8572,2845.0,2933.6,2929.0,2989.5,0.10196445,0.2688421,-0.12775461,-0.15742539,0.07254018,90.0,1153.0,148.74562,2.158035,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,3181.0,3143.0,1144.0,1641.0,2288.0,2474.0,2498.0,2562.0,2558.0,2539.0,0.087582715,0.21838532,-0.102613576,-0.108555496,0.055716053,126.42955,1193.0,135.88455,9.288966,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,3529.5,3154.0,1147.2,1626.5,2213.0,2460.3333,2518.0,2562.0,2511.0,2500.0,0.10367381,0.21377644,-0.11350397,-0.16861187,0.063082136,270.0,1144.0,156.72816,2.1588948,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,3479.5,2968.5,1113.0,1624.5,2280.5,2477.5,2553.0,2602.5,2622.0,2575.5,0.10727524,0.23489933,-0.061980143,-0.14053921,0.06965834,229.25952,1040.0,167.84192,9.849857,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,3310.0,2870.0,956.0,1392.0,2149.3333,2393.0,2515.3333,2618.0,2660.0,2725.5,0.15221974,0.3129319,-0.03797468,-0.10887772,0.10618244,243.92513,1885.0,134.44603,16.416428,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,2446.0,2187.0,1019.0,1400.0,2072.0,2263.0,2322.0,2386.0,2382.0,2411.0,0.10805158,0.25965098,0.042678922,-0.013256007,0.06960036,124.97272,1594.0,159.08907,14.26119,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,4130.0,3888.0,1219.0,1803.0,2469.0,2686.0,2734.0,2819.0,2772.0,2757.0,0.08970336,0.21180327,-0.16756757,-0.19675456,0.057813395,90.0,782.0,150.62163,2.1571705,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,3493.0,3325.6667,1122.8,1594.0,2164.0,2363.0,2377.3333,2438.0,2425.0,2453.0,0.093361,0.20676786,-0.15661953,-0.18046637,0.056875136,21.199009,1014.0,164.76567,2.9817343,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,2792.4,2519.5,995.9375,1440.875,2127.9,2321.3,2383.0,2454.6667,2482.3333,2513.7778,0.11387488,0.26546088,-0.007430625,-0.058783382,0.0768797,30.159979,1474.0,133.75801,2.1444137,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,3816.0,3683.0,1071.5454,1553.9333,2184.0,2419.2,2474.0,2548.75,2530.0,2565.6667,0.11383961,0.23900162,-0.18557863,-0.20264734,0.07339839,130.6927,772.0,151.02008,1.4222358,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,2906.0,2738.0,1095.0,1521.0,2265.0,2491.0,2579.0,2641.0,2618.0,2639.0,0.11036079,0.26503986,-0.02240478,-0.052136134,0.07229163,180.0,1322.0,134.10796,3.7047918,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,3807.0,3494.0,1257.0,1827.0,2438.0,2640.0,2666.0,2746.0,2684.0,2658.0,0.07799125,0.18998004,-0.13111039,-0.17300878,0.048028115,66.740654,781.0,160.26097,2.3473961,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,4397.0,4074.0,1577.4166,2239.5,3069.5,3337.5,3371.75,3442.5,3449.5,3386.5,0.09465097,0.21269116,-0.083006576,-0.12075447,0.05829115,257.92862,898.0,142.89204,4.4261637,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,3837.0,3563.0,1173.0,1728.0,2386.0,2605.0,2637.0,2731.0,2744.0,2713.0,0.108307615,0.22719142,-0.12985572,-0.16608419,0.06978557,270.0,1075.0,163.09732,1.0810547,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,3224.4,2967.0,1129.0,1545.5,2299.0,2517.0,2632.0,2661.0,2649.0,2684.0,0.10969724,0.2630826,-0.056623932,-0.09796709,0.07073565,130.57898,1593.0,136.44891,2.849293,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,3636.0,3402.0,947.0,1428.0,2119.0,2316.0,2379.0,2435.0,2430.0,2375.0,0.09667392,0.25972006,-0.16666667,-0.19881305,0.06836668,-0.0,897.0,158.38951,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,3808.0,3305.0,1167.0,1718.0,2379.0,2634.0,2703.0,2759.0,2691.0,2660.0,0.09496561,0.22068496,-0.1024016,-0.1718726,0.06153846,15.039801,930.0,154.74802,12.292885,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,4453.0,4086.6,1446.875,2120.5715,2915.2856,3218.0,3294.0,3377.0,3351.0,3330.0,0.10901415,0.22487661,-0.09890288,-0.14120963,0.06953312,254.00795,769.0,150.62163,6.702312,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,4243.5,4002.2,1212.8572,1821.0,2764.3333,3034.0,3104.875,3188.75,3173.4,3187.0,0.09589924,0.27078328,-0.115502544,-0.14427862,0.06889273,-0.0,1150.0,156.68616,2.7802885,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,3525.0,3188.5,1165.3334,1690.0,2293.0,2474.0,2518.0,2600.0,2645.0,2647.0,0.11482255,0.22029988,-0.093168765,-0.14262562,0.07128392,249.1554,1409.0,136.44891,10.313242,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,3442.0,3191.0,1068.0,1526.0,2247.0,2428.0,2521.0,2597.0,2681.0,2668.6667,0.13306352,0.27454242,-0.08685286,-0.12428548,0.08806818,130.62779,1604.0,149.55853,16.611254,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,3702.0,3491.0,969.0,1405.0,2006.0,2177.0,2209.0,2289.0,2288.0,2288.0,0.09989373,0.23910101,-0.20816751,-0.2360601,0.06567303,270.0,887.0,149.6913,3.2365973,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,5175.0,4408.0,1442.0,2236.0,3333.0,3660.0,3760.0,3877.0,3802.0,3837.0,0.09028954,0.2593574,-0.073812425,-0.15294641,0.06573231,302.75577,1272.0,164.40617,19.749363,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,3983.5,3840.0,1160.5,1637.0,2318.0,2534.5,2594.0,2687.5,2771.0,2806.0,0.14198402,0.25725952,-0.1617002,-0.17950995,0.08901552,21.167042,789.0,155.3019,2.9810908,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,4325.5,3854.0,1284.5,1964.5,2767.0,3085.5,3212.0,3348.5,3297.0,3300.0,0.12906368,0.25325477,-0.0778912,-0.13492948,0.087401055,210.15962,777.0,161.92775,2.1444058,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,3592.0,3167.0,1078.0,1628.0,2362.3333,2586.6667,2629.0,2739.25,2768.0,2732.5,0.114491634,0.25932667,-0.06722831,-0.12955976,0.0790722,287.79666,1492.0,134.29855,9.028293,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,3144.0,3074.0,899.0,1216.0,1701.0,1862.0,1877.0,2005.0,1980.0,2001.0,0.12811093,0.23904881,-0.21646221,-0.22716628,0.07579462,192.3062,784.0,141.00505,14.847343,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,3706.0,3388.0,909.0,1306.0,1904.0,2034.0,2118.0,2199.0,2202.0,2174.0,0.10940598,0.25541618,-0.21216458,-0.25457007,0.07257672,35.61503,875.0,124.230194,14.513103,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,3795.0,3499.0,1067.0,1538.0,2180.0,2368.0,2428.0,2498.0,2459.0,2479.0,0.09253731,0.23042281,-0.17455523,-0.21362329,0.06014227,130.65405,889.0,149.6913,1.4233524,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,2774.5,2676.5,1001.0,1403.5,1802.5,1930.5,1975.0,2017.0,2003.5,2020.5,0.09459714,0.17610802,-0.14380342,-0.16136459,0.05281135,127.38056,1324.0,115.248344,23.104115,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,3791.5,3403.5,1228.5,1887.5,2730.0,2949.0,3013.0,3102.5,3138.0,3129.0,0.098978676,0.24883096,-0.040587023,-0.094306946,0.06952965,193.14551,1454.0,139.03093,14.001221,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,3535.0,3248.0,1017.0,1469.0,2113.5,2328.5,2379.0,2449.5,2432.5,2438.5,0.10651796,0.2469563,-0.1435613,-0.18475074,0.07017158,-0.0,841.0,178.90886,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,3400.5,3049.8333,1237.0,1755.4286,2665.1667,2919.4,3032.5,3108.5,3148.0,3095.0,0.12239119,0.28399953,0.015838882,-0.03855845,0.08305856,229.41342,1268.0,128.14645,1.425307,"{""type"":""MultiPoint"",""coordinates"":[]}"
