system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
0_0,5132.0,4414.0,1201.0,1843.0,3176.0,3529.0,3744.0,3883.0,3941.0,4057.0,0.1366999,0.36272475,-0.05661281,-0.1312686,0.10748911,166.86375,2100.0,176.08939,4.751147,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,4686.0,4028.0,1307.0,2025.0,3246.0,3587.0,3720.0,3829.0,3911.0,3927.0,0.12237312,0.31772238,-0.014737372,-0.090147726,0.09291603,21.26758,1418.0,105.93472,2.9831185,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3649.0,3133.0,867.0,1390.0,2090.0,2330.0,2435.0,2553.0,2588.0,2643.0,0.14432272,0.30115637,-0.095263064,-0.17011383,0.10645575,9.441568,2101.0,138.43922,6.552873,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,3605.0,3235.0,946.0,1309.0,2101.0,2278.0,2383.0,2453.0,2439.0,2443.0,0.10627594,0.30149412,-0.14028904,-0.1929186,0.07444934,324.3629,1525.0,124.20315,14.516937,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,3703.0,3407.0,1241.0,1652.5,2492.3333,2716.5,2777.5,2812.0,2793.3333,2722.0,0.089149974,0.2566073,-0.098973185,-0.14002772,0.05694646,-0.0,1381.0,96.08347,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,3927.75,3314.0,985.6957,1506.5834,2158.9167,2455.1765,2654.476,2843.9333,2860.0,2916.8667,0.20811604,0.30994865,-0.073534176,-0.15730543,0.13968816,92.89385,1649.0,139.6212,17.777935,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,3881.0,3492.0,1164.5,1710.0,2699.5,2980.0,3064.0,3190.0,3240.0,3228.0,0.1262349,0.3090909,-0.037433155,-0.09001545,0.09100093,90.0,1186.0,77.93734,2.1630998,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,6351.0,5194.0,2103.0,3050.0,4439.0,4873.0,4970.0,5164.0,5231.0,5302.0,0.123031035,0.263374,0.0035491607,-0.09670178,0.081902795,18.457159,1524.0,131.87851,13.437134,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,3129.75,2823.0,844.7778,1167.4445,1803.875,2000.625,2096.4285,2156.4167,2160.1667,2183.6667,0.13397281,0.29832882,-0.13301447,-0.18328895,0.08988093,141.68825,1527.0,65.80547,30.013151,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,4930.0,4457.0,1823.0,2551.0,3730.0,3997.0,4112.0,4245.0,4277.0,4297.0,0.10530977,0.25278267,-0.020609114,-0.0709243,0.06831522,210.27559,1295.0,105.93472,4.2878537,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,4989.5,4233.5,1408.0,2103.5,3160.5,3449.0,3588.0,3745.0,3879.5,3925.5,0.14633451,0.29684106,-0.043633673,-0.12515503,0.10213068,158.70482,1937.0,186.44966,2.9836774,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,3388.0,2644.0,883.0,1376.0,2095.0,2519.0,3085.0,3406.0,3502.0,3640.0,0.37220252,0.43583435,0.13960299,0.016545719,0.25138468,149.72806,1286.0,108.98409,2.1468532,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,3144.0,2894.0,1145.0,1626.0,2425.0,2693.0,2767.0,2842.0,2827.0,2863.0,0.11432797,0.2697058,-0.011711239,-0.053089935,0.07654227,30.197756,1646.0,118.9064,4.2844725,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,4593.5835,4272.778,1010.8182,1533.7142,2610.6667,2930.7,3031.8,3126.2,3085.2307,3095.1667,0.10622256,0.33590278,-0.16139518,-0.19643043,0.0833168,343.81006,1140.0,121.035774,3.8573284,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,2054.0,1887.0,812.0,1073.0,1584.0,1728.0,1799.0,1856.0,1865.0,1866.0,0.13304925,0.26957113,-0.0058635394,-0.048226587,0.08147289,110.89176,1719.0,128.8082,10.291478,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,3389.75,3171.0,1280.6666,1764.75,2497.5,2664.8333,2736.0,2858.6667,2913.8333,2874.0,0.12547968,0.24560496,-0.042263564,-0.0754994,0.07693728,77.228294,1512.0,92.38553,20.109106,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,3755.0,3520.0,1628.0,2345.0,3294.0,3527.0,3568.0,3629.0,3612.0,3517.0,0.07119191,0.21269095,0.012899607,-0.019410886,0.046046916,-0.0,1810.0,191.84718,4.6273675,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,3044.0,2621.0,1007.6,1449.8572,1833.8572,1956.25,2017.3334,2080.0,2157.8,2113.2334,0.14448981,0.1962334,-0.09692809,-0.1703641,0.08115498,48.014717,1779.0,175.89026,25.82619,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,2826.8,2673.0,941.3333,1264.3334,1925.75,2146.0,2205.0,2285.2,2256.6667,2281.5,0.12252243,0.2818328,-0.08445464,-0.112154424,0.07912094,142.2015,1361.0,73.33206,7.007559,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,2389.0,2360.0,958.0,1371.0,1876.0,2040.0,2095.0,2161.0,2142.0,2117.0,0.107016414,0.21947053,-0.04842292,-0.054513354,0.06620209,137.05104,2509.0,216.12048,12.47059,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,4946.5,4296.5,1205.0,1878.0,2718.5,3042.5,3125.5,3288.0,3199.5,3317.0,0.1148081,0.2602659,-0.14634472,-0.21446109,0.08127746,204.93199,1903.0,133.14453,5.1005216,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,3288.8,3080.75,1067.25,1517.125,2316.0,2567.3635,2631.2856,2711.2,2742.1428,2742.1667,0.12337993,0.2876123,-0.058151025,-0.09064208,0.08424887,66.73437,1534.0,89.65198,2.346798,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,3301.0,2792.5,817.5,1214.0,1654.5,1973.0,2356.0,2511.0,2637.0,2700.5,0.3817758,0.3695144,-0.028639838,-0.111822166,0.22894093,270.0,1507.0,139.81831,19.665495,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,2386.0,2275.0,974.5,1255.0,1822.0,2008.0,2062.0,2083.5,2068.0,2074.2,0.10804164,0.24465844,-0.047662906,-0.0713965,0.063239075,243.8383,1418.0,72.33341,16.36848,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,2633.75,2486.0,962.0,1330.25,1891.0,2068.3333,2076.0,2123.0,2129.0,2132.0,0.095032744,0.23090266,-0.07735644,-0.10597869,0.05920398,310.5449,1392.0,161.24403,2.8512697,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,2017.0,1880.0,770.0,1024.0,1584.0,1721.0,1795.0,1870.0,1860.0,1885.0,0.12343471,0.28987518,-0.0053475937,-0.040495228,0.080139376,44.606792,1368.0,107.61623,16.466993,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,3523.0,3175.0,1223.0,1716.0,2449.0,2769.0,2889.0,3010.0,3000.0,3068.0,0.16163097,0.27226463,-0.02834008,-0.08017783,0.10111947,180.0,1397.0,133.85284,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,3922.0,3415.0,823.0,1068.0,1698.0,1834.0,1907.0,2022.0,2040.0,2070.0,0.14117064,0.3127413,-0.25206232,-0.31566587,0.09149278,90.0,1684.0,85.240486,1.0795904,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,3154.3333,2872.6,946.5,1356.3334,2139.5,2361.5,2454.75,2556.0,2583.6,2599.5,0.13339785,0.31149426,-0.052967265,-0.099466674,0.09402724,3.918103,1441.0,65.80547,15.420816,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,2545.7632,2357.2856,999.7692,1327.1428,2063.4614,2288.2727,2354.375,2406.4,2375.8125,2372.125,0.107569106,0.28319803,0.003914319,-0.03453176,0.07036085,193.09505,1360.0,73.33206,9.436285,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,2551.5,2388.5,838.12,1185.25,1640.2222,1830.0,1940.7142,2004.7273,2070.625,2131.0,0.19122018,0.2719315,-0.07128641,-0.10403764,0.11598506,197.01083,2523.0,151.94635,17.829844,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,5717.0,4762.0,1489.0,2276.0,3696.0,4041.0,4159.0,4391.0,4492.0,4559.0,0.12837467,0.32742316,-0.029176572,-0.11999217,0.09721544,267.86685,1460.0,133.85284,23.504114,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,2181.0,1966.0,1115.0,1427.0,1909.0,2070.0,2133.0,2171.0,2156.0,2134.0,0.11765266,0.20346078,0.04609413,-0.005764353,0.060762607,21.232399,1817.0,144.15735,2.9824076,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,2411.5,1833.0,712.0,1136.0,1324.0,1916.0,3021.0,3414.0,3463.0,3526.0,0.88126236,0.50597954,0.30777946,0.17899396,0.4468352,90.0,1168.0,54.430386,3.2365973,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,2176.0,1994.0,712.0,949.0,1474.0,1644.0,1699.0,1735.0,1747.0,1760.0,0.1299505,0.29599407,-0.06602513,-0.109355085,0.084756285,72.16796,1404.0,98.77732,17.59753,"{""type"":""MultiPoint"",""coordinates"":[]}"
