system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
0_0,5952.6665,5398.5,2526.3333,3341.0,3917.0,4237.5,4700.75,4896.75,5173.75,5211.25,0.32293084,0.21524413,-0.021258483,-0.07000605,0.13824491,15.326866,2232.0,217.03976,59.95378,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,3566.0,3388.0,1077.0,1591.0,2101.0,2277.0,2359.0,2452.0,2480.0,2510.0,0.1351737,0.21837386,-0.15473756,-0.17962289,0.08273303,173.89215,2830.0,164.10704,28.246746,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3916.6667,3579.6667,1329.3334,1812.8334,2384.077,2581.5715,2663.3333,2765.5,2834.2856,2900.25,0.1569821,0.21980333,-0.11621245,-0.16033013,0.086273946,262.71463,2716.0,162.12553,20.954739,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,4568.0,4093.5,1576.0,2267.0,3299.0,3645.0,3757.0,3881.5,3896.0,3952.5,0.12572657,0.26431933,-0.024719944,-0.079395086,0.082974285,166.78345,1846.0,171.28984,9.440879,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,3624.0,3104.0,981.0,1461.0,2028.0,2295.0,2415.0,2496.0,2477.0,2568.0,0.15400974,0.25799897,-0.11234546,-0.18800196,0.099667035,130.50151,1559.0,136.48463,15.332097,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,3169.8667,2732.5,859.6875,1237.5333,1754.3,2010.6666,2191.2,2332.182,2400.3333,2496.2595,0.2492613,0.31963786,-0.06471411,-0.13815185,0.15549704,136.8226,3009.0,277.91302,6.3333893,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,4659.0,4029.0,1195.0,1804.0,2649.0,2940.0,3075.0,3177.0,3218.0,3264.0,0.14014088,0.28156114,-0.111908376,-0.18293767,0.09698313,49.624344,1975.0,168.14229,1.4314654,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,4069.0,3686.0,1108.0,1654.0,2329.0,2557.0,2717.0,2862.0,2926.0,2987.0,0.17372832,0.27772924,-0.11494253,-0.16340242,0.11360609,248.89348,2818.0,165.64815,12.667613,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,5154.3335,4261.25,1695.925,2371.0,3526.25,3893.8333,3964.3333,4095.8333,4102.0,4182.0,0.114772975,0.2674185,-0.01904164,-0.11368794,0.07547603,130.43365,1373.0,147.2965,2.8577516,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,4169.0,3680.0,1388.0,1949.0,2556.0,2800.0,2972.0,3105.0,3118.0,3205.0,0.17464264,0.23070851,-0.082671374,-0.14422946,0.099048294,308.01413,2935.0,164.10704,31.155277,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,3642.0,3347.0,1025.0,1530.0,2079.0,2292.0,2412.0,2492.0,2517.0,2559.0,0.14990759,0.24388435,-0.14154162,-0.18265952,0.095300265,101.07633,2768.0,183.1774,14.186079,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,3820.0,3498.0,1171.0,1664.0,2292.0,2514.0,2651.0,2747.0,2748.0,2850.0,0.14769709,0.24569356,-0.12007685,-0.16321559,0.09047619,297.97333,3050.0,167.50233,9.790276,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,4776.0,4220.1665,1289.6666,1917.0,2836.5,3138.3333,3251.2,3388.6667,3451.5,3500.75,0.14237429,0.28583404,-0.100195505,-0.1609845,0.09780534,93.252396,2080.0,152.1985,15.924747,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,4474.8335,4022.6667,1262.0,1792.0,2570.5,2803.75,2966.5,3115.0,3190.8,3271.5,0.16948459,0.28072572,-0.115321346,-0.16750519,0.10766668,310.5086,1970.0,178.08243,15.329979,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,3823.0,3462.0,1584.6666,2182.4,2695.75,2872.1667,2905.0,2965.75,3032.1428,3049.7778,0.11484679,0.16295636,-0.06619152,-0.11536699,0.058728896,165.38225,1756.0,161.90826,16.758469,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,3437.0,3032.0,1218.0,1722.0,2347.0,2587.0,2654.0,2755.0,2768.0,2815.0,0.13640487,0.23296213,-0.04551724,-0.10781628,0.082306944,219.00938,1761.0,128.81453,15.153511,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,3755.0,3502.5,1161.5,1686.0,2293.1667,2514.0,2709.5,2851.75,2899.5,2919.0,0.19071281,0.26463854,-0.094189316,-0.12855962,0.11676722,225.2555,1782.0,190.58125,9.144467,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,3279.0,3085.0,1155.0,1652.0,2134.0,2335.0,2398.0,2477.0,2443.0,2516.0,0.11730316,0.1931624,-0.11613604,-0.14610276,0.06751147,62.074203,2521.0,194.13248,9.805301,"{""type"":""MultiPoint"",""coordinates"":[]}"
