system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
0_0,2235.0,1572.0,558.0,809.0,909.0,1268.0,1984.0,2209.0,2282.0,2386.0,0.966357,0.4765448,0.18422419,0.010405136,0.43027264,164.49832,1365.0,237.87143,12.319144,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.070136379334786,33.69207829889416]}"
1_0,4424.0,3654.0,1113.0,1614.0,2333.0,2656.0,2876.0,3040.0,3102.0,3278.0,0.21962644,0.31552163,-0.08170515,-0.17565772,0.14149034,196.74037,757.0,221.89017,3.868263,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.578847750449819,33.78128100660723]}"
2_0,2642.182,2476.5,800.3333,1176.0,1736.5555,1975.8,2221.0,2289.6667,2418.8572,2378.8,0.24949996,0.345732,-0.011774998,-0.044126257,0.16419588,343.33218,1814.0,314.6059,3.8667977,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.057200639243464,33.38431548255481]}"
3_0,4679.0,4116.0,1216.0,1794.0,2590.0,2884.0,3153.0,3301.0,3477.0,3498.0,0.22403516,0.31929424,-0.08415646,-0.14737616,0.14620076,247.36313,1611.0,243.63628,7.1912775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.856427173242752,33.48510645743302]}"
4_0,5500.0,5049.0,2038.0,2789.0,3581.0,3931.0,4040.0,4190.0,4234.0,4308.0,0.15642966,0.20575252,-0.08779489,-0.13005958,0.08355726,67.27659,1582.0,201.4499,2.3996623,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.650263815537321,33.11482089731896]}"
5_0,3456.5,2841.0,1256.5,1766.5,2251.5,2538.0,2760.0,2868.0,2898.5,2919.5,0.23157594,0.2426581,0.010018295,-0.087804876,0.12563106,11.282498,1214.0,279.37686,11.204187,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.37493475523654,33.34119634891707]}"
6_0,4802.0,4358.0,1393.0,2019.0,2867.0,3277.0,3469.0,3649.0,3671.0,3799.0,0.19277802,0.29033393,-0.08556483,-0.13348283,0.12297339,180.0,883.0,213.50264,11.883978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.471858400111184,33.66890176456388]}"
7_0,4279.0,3527.0,872.0,1348.0,2091.0,2372.0,2617.0,2840.0,2967.0,3042.0,0.24403833,0.37520278,-0.086233445,-0.18106541,0.17319098,221.20338,916.0,223.9281,13.31524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.588280060933075,33.833562956142984]}"
8_0,4269.0,3876.8,1399.5,1993.5,2425.0,2622.0,2674.0,2787.0,2769.5,2826.0,0.12620434,0.16292253,-0.16660398,-0.21304256,0.06632014,108.463264,1837.0,210.86009,5.8370066,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.516055512089864,33.41476837068646]}"
9_0,4194.0,3455.0,1007.0,1493.0,2037.0,2526.0,2674.0,2927.0,2893.0,3118.0,0.2829378,0.31919745,-0.08853182,-0.18357556,0.17363083,212.11305,678.0,221.89017,23.728996,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.5640255482618475,33.76726728817496]}"
10_0,4009.0,3493.0,1243.0,1719.0,2332.0,2632.0,2930.0,3088.0,3134.0,3335.0,0.25690308,0.2915722,-0.054172326,-0.12249755,0.14672521,90.0,575.0,215.23817,5.5736294,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.603371757706283,33.961842378715254]}"
11_0,4796.0,4259.0,1161.0,1672.0,2381.0,2794.0,3018.0,3241.0,3303.0,3505.0,0.259499,0.3278392,-0.12642159,-0.18434374,0.1622097,42.050636,906.0,222.62479,4.98362,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.639214537542651,33.748941656378925]}"
12_0,3093.0,2471.0,800.0,1172.8,1708.0,2014.3334,2912.0,3215.0,3261.0,3350.0,0.51697737,0.47097296,0.13782275,0.026440037,0.31253773,50.133167,1491.0,238.00243,1.446624,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.851845765293742,33.36895429119637]}"
13_0,3566.0,2649.0,824.0,1259.5,1619.0,2155.5,3176.5,3519.0,3555.0,3740.5,0.68265164,0.47678888,0.14603482,-0.0015447269,0.3741786,278.50946,1592.0,249.66653,28.677961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.376551722747955,33.08382902001683]}"
14_0,4440.6,3835.0,1173.4286,1760.0,2501.0,2847.0,3109.111,3276.0,3373.2222,3425.0,0.22762708,0.31427085,-0.064062655,-0.13660125,0.14848301,123.73201,1677.0,257.5319,6.650864,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.909787101119451,33.41988876780594]}"
15_0,5935.5,4982.0,1842.5,2591.5,3749.5,4121.0,4287.5,4393.5,4444.5,4465.5,0.13239355,0.26335987,-0.0570201,-0.14364162,0.08481816,158.31563,1529.0,167.13152,2.9916527,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.624931324525151,33.03936241345291]}"
16_0,3024.0,2184.0,552.0,854.0,1069.0,1565.0,2435.0,2735.0,2808.0,2982.0,0.855302,0.53358823,0.125,-0.037037037,0.44854268,309.73108,853.0,222.13614,4.344809,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.090078978642239,33.78478443621529]}"
17_0,3600.0,2887.0,656.0,1011.0,1566.0,1917.0,2308.0,2529.0,2571.0,2740.0,0.35648412,0.43551087,-0.057896666,-0.16674769,0.24292965,31.093147,773.0,220.95895,4.324177,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.406371215898871,33.9952597072845]}"
18_0,5700.0,5019.5,2737.5,3435.0,4122.0,4545.5,4641.5,4775.0,4785.0,4892.0,0.1844382,0.16423358,-0.02391759,-0.087267525,0.07443584,308.0755,1717.0,167.70287,21.491337,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.39343547580755,33.31775032000155]}"
19_0,3336.0,2685.0,998.3333,1373.5,1887.25,2285.5,2729.8,2925.5,3045.6365,3182.8333,0.42076406,0.37838534,0.062931314,-0.045499854,0.23482934,334.41757,1923.0,323.06754,5.1277666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.125652263893373,33.32960808175193]}"
20_0,4284.5,3411.0,1104.0,1612.5,2178.0,2516.5,2836.0,3032.5,3186.0,3284.5,0.31598747,0.32791498,-0.03410641,-0.14704505,0.18791947,168.7385,1891.0,279.6853,5.6557546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.293277895910075,33.174109706070844]}"
21_0,4187.0,3695.5,1309.0,1860.0,2540.5,2795.0,2911.0,3028.0,3082.5,3173.0,0.15924315,0.24734446,-0.090439655,-0.15193617,0.09638983,166.54912,1667.0,173.10901,9.44987,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.2279658004727345,33.257114038323486]}"
22_0,3128.0,2488.5,669.0,994.5,1289.5,1721.0,2403.0,2634.5,2788.5,2904.0,0.6802505,0.4742268,0.05685048,-0.0573819,0.36758214,234.68472,1356.0,263.99915,17.12049,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.477073203040929,33.149316204229144]}"
23_0,4358.0,3623.0,1240.5,1733.0,2367.0,2643.5,2874.0,3022.5,3134.0,3202.5,0.23869543,0.287857,-0.0723694,-0.16337426,0.1394292,277.6173,1822.0,172.92258,26.034655,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.413108580529768,33.29565176401221]}"
24_0,2588.0,2081.0,1003.0,1421.0,1667.0,1894.0,2132.0,2279.0,2335.0,2371.3333,0.3467968,0.24334398,0.057518117,-0.051391426,0.16691653,165.00774,938.0,199.99078,24.3454,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.061148652211739,33.922496169270815]}"
25_0,5041.0,4532.0,1289.0,1850.0,2699.0,3060.0,3205.0,3390.0,3458.0,3586.0,0.19002554,0.30293897,-0.13441803,-0.18625721,0.12327432,191.31091,1628.0,219.3547,5.6567216,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.711169591800625,33.564876854662835]}"
26_0,4726.0,3774.0,1073.0,1621.0,2412.0,2798.0,3014.0,3196.0,3253.0,3435.0,0.21723408,0.3348379,-0.07414259,-0.1846096,0.14845543,16.73822,1098.0,202.12076,3.8682196,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.768032949285391,33.769692739442085]}"
27_0,4556.0,3802.0,1459.5,1992.25,2700.0,2988.0,3319.0,3474.0,3595.6667,3634.6667,0.2530013,0.28694355,-0.027891666,-0.11780821,0.14226718,231.83922,2633.0,223.46385,22.742887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.661043598946756,33.39159183635618]}"
28_0,4060.0,3768.0,1350.1666,1927.0,2435.0,2595.5,2729.6667,2799.0,2881.0,2874.0,0.15137629,0.1984193,-0.13340352,-0.16986024,0.083897665,266.58798,1907.0,210.86009,15.215851,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.541926992272507,33.41530735985693]}"
29_0,4479.0,3935.5,1234.0,1791.5,2609.0,2922.0,3096.0,3214.5,3249.5,3357.0,0.16594124,0.28922832,-0.09547669,-0.1590865,0.10932833,90.0,1532.0,163.60983,2.2176735,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.379691251960521,33.27597865929]}"
30_0,3403.0,3205.6667,929.35297,1569.2,2393.5833,2786.75,2916.9,3038.6667,2972.35,3087.4,0.13960046,0.3089584,-0.037765622,-0.067549214,0.10785949,329.13464,1843.0,310.32516,2.1600146,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.061782047192474,33.21857631263476]}"
31_0,3806.0,3092.0,798.0,1178.0,1577.0,1969.0,2360.0,2592.0,2709.0,2821.0,0.4574107,0.39387703,-0.0660231,-0.16838066,0.26411572,56.36458,1381.0,206.78177,19.325611,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.772344862649164,33.7351974325319]}"
32_0,1751.0,1010.0,452.0,699.0,607.0,1087.0,2338.0,2682.0,2688.0,2901.0,1.7689562,0.58724535,0.45375878,0.21108358,0.63156295,300.76468,1789.0,251.04825,8.991596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.031329159060823,33.550593641645335]}"
