system:index,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023,NDVI_2024,.geo
0_0,0.31803346,0.37226233,0.3740914,0.38186836,0.4423909,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.557476995251478,34.20735194586511]}"
1_0,0.34077516,0.32477778,0.32109898,0.3253759,0.34186283,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.393354792842841,34.23403190980346]}"
2_0,0.35818493,0.3322841,0.2681341,0.25646502,0.28691393,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.552895587302468,34.114915303129216]}"
3_0,0.4247685,0.47009826,0.4484411,0.39120492,0.44330707,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.4863304247492115,34.14509869667563]}"
4_0,0.39730266,0.36708573,0.2926643,0.2963009,0.287415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.4170703163435965,34.03406692755846]}"
5_0,0.49346423,0.48001012,0.44083628,0.45049384,0.4938699,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.658537464714923,34.10224905762313]}"
6_0,0.32654408,0.34172535,0.32856974,0.30490467,0.46522486,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.357781507591708,34.20034508664898]}"
7_0,0.41612196,0.50393426,0.40855777,0.4293081,0.33891147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.396319233280435,34.24966259574715]}"
8_0,0.22127084,0.28962854,0.2207637,0.271926,0.27318904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.372873204364916,34.12407811902724]}"
9_0,0.30563396,0.28469485,0.26679066,0.29047453,0.253242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.38823439572336,34.22971999643969]}"
10_0,0.513624,0.55748403,0.49153504,0.38639054,0.47016716,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.401170135814681,34.28820032143587]}"
11_0,0.27435032,0.27311826,0.28386137,0.21063289,0.21738967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.413566886735531,34.224330104734975]}"
12_0,0.4109369,0.48041058,0.34398896,0.35167813,0.41215548,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.484713457237796,34.110333895180204]}"
13_0,0.42628425,0.48179337,0.38723043,0.4026761,0.41385445,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.6588069593001595,34.02490411166044]}"
14_0,0.51139194,0.57697487,0.4860417,0.4501311,0.43108565,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.503847572789542,34.12569508653865]}"
15_0,0.22048344,0.27820435,0.2529343,0.25593948,0.24352911,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.408446489616049,34.011429382398646]}"
16_0,0.46996105,0.48395506,0.44025904,0.4078887,0.51866084,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.563944865297138,34.23510988814441]}"
17_0,0.47700804,0.41190842,0.34445292,0.36303183,0.42088526,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.335413457017132,34.2981716210896]}"
18_0,0.25173217,0.23348832,0.25841725,0.22120465,0.24396437,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.331910027409066,34.09497270382176]}"
19_0,0.4527671,0.43314448,0.36051255,0.35321978,0.5219888,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.57553313246228,34.09847613342983]}"
20_0,0.6564678,0.68988264,0.623245,0.5657675,0.6456923,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.631318511606103,34.05212306476926]}"
21_0,0.35445789,0.32445076,0.32240576,0.3084372,0.28987244,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.27639414285048,34.07691656661096]}"
22_0,0.54194826,0.574979,0.5123196,0.43163118,0.47041637,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.692224287869406,34.044846710967896]}"
