system:index,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023,NDVI_2024,.geo
0_0,0.24783696,0.22729468,0.2555483,0.2746078,0.25104478,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.42658330979156,34.52724201854008]}"
1_0,0.40600148,0.38847175,0.27306148,0.25972015,0.31637707,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.922722841210772,35.109619817234766]}"
2_0,0.5846898,0.5841582,0.4994933,0.5419487,0.550576,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.442752984905712,34.82557252439617]}"
3_0,0.39006105,0.41709056,0.32951126,0.35113123,0.33801547,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.64056201046883,34.59272920275239]}"
4_0,0.5194573,0.5569583,0.48311326,0.45524725,0.47357583,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.851845765293742,34.82368606229952]}"
5_0,0.22411357,0.23804769,0.2577969,0.26142535,0.1674728,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.125288363497873,35.07728046700646]}"
6_0,0.59775406,0.59399706,0.5613719,0.6096262,0.62372553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.028364718623228,35.15085248877585]}"
7_0,0.6665576,0.6701406,0.6082758,0.64720845,0.6415845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.913560025312753,35.063805737744666]}"
9_0,0.59342605,0.45407078,0.41773367,0.39399725,0.555306,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.937275548813508,35.11393173059854]}"
10_0,0.749838,0.7672436,0.71708393,0.7206339,0.7048968,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.900624285221432,34.94495862565565]}"
11_0,0.49436724,0.57314956,0.5224605,0.51174706,0.4511451,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.861278075776997,35.18292234441892]}"
12_0,0.3323797,0.33253342,0.2732583,0.24854496,0.29124647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.647029880514491,34.70537793938098]}"
14_0,0.4473815,0.48429614,0.44609424,0.40196958,0.41886532,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.588819050103546,34.69271169387489]}"
15_0,0.3838113,0.37126523,0.36485195,0.35333577,0.38376987,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.878525729232091,34.8821663872957]}"
17_0,0.25923416,0.24088068,0.21486564,0.19139168,0.2143742,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.097085837858371,34.77948895032084]}"
18_0,0.25063917,0.23457155,0.25970405,0.24007453,0.2699698,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.103553707904032,35.44999147838765]}"
19_0,0.46976358,0.4635567,0.3235018,0.42061672,0.4148466,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.374840349426276,34.925285520933436]}"
21_0,0.46846417,0.36114267,0.42221147,0.3428155,0.4149477,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.270370856165027,35.3985180126076]}"
24_0,0.28860778,0.41795623,0.36559743,0.33510244,0.21539192,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.439613455693145,34.61887017752027]}"
27_0,0.31239766,0.28426632,0.25029773,0.22704186,0.23578855,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.83567609017959,34.55607793916031]}"
