,accuracy_train,accuracy_test,balanced_accuracy,precision,recall,f1_score,cohen_kappa,auc_roc,training_time,overfitting_score,cv_mean,cv_std,confusion_matrix,composite_score
LogisticRegression,0.9688612099644128,0.9412811387900356,0.9374435950522908,0.9201631549228804,0.9374435950522908,0.9278971862953556,0.9143897744111008,0.9943526541376475,14.005629539489746,0.02758007117437722,0.9490642059757939,0.00888680073582242,"[[248, 1, 0, 0, 11], [0, 37, 0, 3, 0], [0, 0, 61, 3, 1], [0, 0, 2, 34, 0], [5, 0, 7, 0, 149]]",0.9438990613645772
LightGBM,1.0,0.9519572953736655,0.9298513563730955,0.9382017052052032,0.9298513563730955,0.9338506840150747,0.9293877854922473,0.9951996743220641,3.5943586826324463,0.04804270462633453,0.9331240771391132,0.02325469379193729,"[[254, 0, 0, 0, 6], [0, 38, 0, 2, 0], [0, 0, 57, 2, 6], [0, 1, 3, 32, 0], [5, 0, 2, 0, 154]]",0.9361268866190067
NeuralNetwork,0.995576923076923,0.9306049822064056,0.912269735095822,0.9294206289086361,0.912269735095822,0.9196380500228308,0.898120732370536,0.9894963550563733,4.809958457946777,0.06497194087051739,0.9796153846153846,0.0011213369028548652,"[[248, 0, 0, 0, 12], [0, 39, 0, 1, 0], [0, 0, 59, 1, 5], [0, 0, 6, 29, 1], [9, 0, 4, 0, 148]]",0.9325010242845693
GradientBoosting,1.0,0.9483985765124555,0.9287285661198703,0.9332675996607295,0.9287285661198703,0.9309625662314975,0.9241540745428908,0.992578116380583,63.90947699546814,0.051601423487544484,0.9209526209556282,0.018267388988465267,"[[255, 0, 0, 0, 5], [0, 38, 0, 2, 0], [0, 0, 58, 2, 5], [0, 1, 3, 32, 0], [7, 0, 4, 0, 150]]",0.931777579199027
CatBoost,0.99644128113879,0.9412811387900356,0.920230132186654,0.928071200704409,0.920230132186654,0.922896864410545,0.9136841321406298,0.996070092589655,16.190131425857544,0.05516014234875444,0.9359013535916102,0.0038831307952437136,"[[252, 0, 0, 0, 8], [0, 37, 0, 3, 0], [0, 0, 55, 4, 6], [0, 0, 2, 33, 1], [7, 0, 2, 0, 152]]",0.9290863412277309
XGBoost,1.0,0.9412811387900356,0.9134381801773106,0.9194246698010826,0.9134381801773106,0.9161629557562264,0.9138156977554719,0.9947036290388868,3.938706398010254,0.05871886120996439,0.92708065571157,0.02291972887072395,"[[252, 0, 0, 0, 8], [0, 37, 0, 3, 0], [0, 0, 56, 3, 6], [0, 1, 4, 31, 0], [5, 0, 3, 0, 153]]",0.9225526996803822
RandomForest,0.9866548042704626,0.9306049822064056,0.9106574826140044,0.9131644063376996,0.9106574826140044,0.9115024274882295,0.8983913587687172,0.9945593222842397,1.7922618389129639,0.05604982206405695,0.9293619550057001,0.016047509364141958,"[[246, 0, 0, 0, 14], [0, 37, 0, 3, 0], [0, 0, 57, 3, 5], [0, 2, 2, 31, 1], [6, 0, 3, 0, 152]]",0.9213103996189989
ExtraTrees,0.9817615658362989,0.9217081850533808,0.9070958751393533,0.9021703294609722,0.9070958751393533,0.9031784755516844,0.8854102949081539,0.9944734273565559,0.7169227600097656,0.06005338078291811,0.9366227714413359,0.01371067728309125,"[[247, 0, 0, 0, 13], [0, 37, 0, 3, 0], [0, 0, 54, 6, 5], [0, 0, 2, 33, 1], [8, 0, 6, 0, 147]]",0.9183961833389949
KNN,1.0,0.8505338078291815,0.8561604820300474,0.8297803196868072,0.8561604820300474,0.8398322446171909,0.7842610364683301,0.9499295671154359,0.022542953491210938,0.14946619217081847,0.9534615384615386,0.007262002918653486,"[[225, 0, 1, 0, 34], [0, 37, 0, 3, 0], [0, 0, 50, 10, 5], [0, 0, 3, 32, 1], [11, 0, 16, 0, 134]]",0.8695968872523154
DecisionTree,0.9381672597864769,0.8807829181494662,0.832505706853533,0.823546856193915,0.832505706853533,0.8276033151945377,0.8258146290916493,0.9449870579170636,0.2912890911102295,0.05738434163701067,0.8691269543741476,0.020147682907657383,"[[244, 0, 0, 0, 16], [0, 36, 0, 4, 0], [0, 0, 49, 11, 5], [0, 3, 8, 25, 0], [11, 0, 9, 0, 141]]",0.8603812291618487
